date,hour,region,stock_now,stock_next,stay,inflow,outflow,exit,entry,reconstructed_next,difference,passed
2018-01-04,14,outer,5,5,5,0,0,0,0,5,0,True
2018-01-04,15,core,13,12,11,1,2,0,0,12,0,True
2018-01-04,15,near,26,29,25,3,1,0,1,29,0,True
2018-01-04,15,outer,5,4,4,0,1,0,0,4,0,True
2018-01-04,16,core,12,14,12,2,0,0,0,14,0,True
2018-01-04,16,near,29,28,27,0,2,0,1,28,0,True
2018-01-04,16,outer,4,4,4,0,0,0,0,4,0,True
2018-01-04,17,core,14,13,13,0,1,0,0,13,0,True
2018-01-04,17,near,28,29,28,1,0,0,0,29,0,True
2018-01-04,17,outer,4,3,3,0,0,1,0,3,0,True
2018-01-04,18,core,13,12,11,1,2,0,0,12,0,True
2018-01-04,18,near,29,31,28,3,1,0,0,31,0,True
2018-01-04,18,outer,3,3,2,0,1,0,1,3,0,True
2018-01-04,19,core,12,14,12,2,0,0,0,14,0,True
2018-01-04,19,near,31,26,26,0,5,0,0,26,0,True
2018-01-04,19,outer,3,7,3,3,0,0,1,7,0,True
2018-01-04,20,core,14,14,14,0,0,0,0,14,0,True
2018-01-04,20,near,26,26,26,0,0,0,0,26,0,True
2018-01-04,20,outer,7,6,6,0,0,1,0,6,0,True
2018-01-04,21,core,14,14,14,0,0,0,0,14,0,True
2018-01-04,21,near,26,26,26,0,0,0,0,26,0,True
2018-01-04,21,outer,6,4,4,0,0,2,0,4,0,True
2018-01-04,22,core,14,12,12,0,2,0,0,12,0,True
2018-01-04,22,near,26,28,26,2,0,0,0,28,0,True
2018-01-04,22,outer,4,5,4,0,0,0,1,5,0,True
2018-01-04,23,core,12,12,10,2,2,0,0,12,0,True
2018-01-04,23,near,28,28,26,2,2,0,0,28,0,True
2018-01-04,23,outer,5,6,5,0,0,0,1,6,0,True
2018-01-05,0,core,12,14,12,2,0,0,0,14,0,True
2018-01-05,0,near,28,26,26,0,2,0,0,26,0,True
2018-01-05,0,outer,6,6,6,0,0,0,0,6,0,True
2018-01-05,1,core,14,14,14,0,0,0,0,14,0,True
2018-01-05,1,near,26,28,26,1,0,0,1,28,0,True
2018-01-05,1,outer,6,5,5,0,1,0,0,5,0,True
2018-01-05,2,core,14,15,14,1,0,0,0,15,0,True
2018-01-05,2,near,28,27,26,0,1,1,1,27,0,True
2018-01-05,2,outer,5,4,4,0,0,1,0,4,0,True
2018-01-05,3,core,15,15,15,0,0,0,0,15,0,True
2018-01-05,3,near,27,25,25,0,1,1,0,25,0,True
2018-01-05,3,outer,4,5,4,1,0,0,0,5,0,True
2018-01-05,4,core,15,15,15,0,0,0,0,15,0,True
2018-01-05,4,near,25,25,25,0,0,0,0,25,0,True
2018-01-05,4,outer,5,5,5,0,0,0,0,5,0,True
2018-01-05,5,core,15,14,14,0,1,0,0,14,0,True
2018-01-05,5,near,25,28,25,3,0,0,0,28,0,True
2018-01-05,5,outer,5,3,3,0,2,0,0,3,0,True
2018-01-05,6,core,14,12,12,0,2,0,0,12,0,True
2018-01-05,6,near,28,30,28,2,0,0,0,30,0,True
2018-01-05,6,outer,3,4,3,0,0,0,1,4,0,True
2018-01-05,7,core,12,12,10,2,2,0,0,12,0,True
2018-01-05,7,near,30,29,27,2,3,0,0,29,0,True
2018-01-05,7,outer,4,5,3,1,0,1,1,5,0,True
2018-01-05,8,core,12,15,12,3,0,0,0,15,0,True
2018-01-05,8,near,29,29,26,0,3,0,3,29,0,True
2018-01-05,8,outer,5,6,5,0,0,0,1,6,0,True
2018-01-05,9,core,15,16,14,2,1,0,0,16,0,True
2018-01-05,9,near,29,27,26,1,3,0,0,27,0,True
2018-01-05,9,outer,6,6,5,1,0,1,0,6,0,True
2018-01-05,10,core,16,11,10,1,6,0,0,11,0,True
2018-01-05,10,near,27,34,27,6,0,0,1,34,0,True
2018-01-05,10,outer,6,5,5,0,1,0,0,5,0,True
2018-01-05,11,core,11,13,9,4,1,1,0,13,0,True
2018-01-05,11,near,34,27,27,0,6,1,0,27,0,True
2018-01-05,11,outer,5,7,4,3,0,1,0,7,0,True
2018-01-05,12,core,13,14,12,2,1,0,0,14,0,True
2018-01-05,12,near,27,27,25,2,2,0,0,27,0,True
2018-01-05,12,outer,7,7,5,1,2,0,1,7,0,True
2018-01-05,13,core,14,15,12,2,2,0,1,15,0,True
2018-01-05,13,near,27,27,24,3,2,1,0,27,0,True
2018-01-05,13,outer,7,6,6,0,1,0,0,6,0,True
2018-01-05,14,core,15,15,14,1,1,0,0,15,0,True
2018-01-05,14,near,27,27,26,1,1,0,0,27,0,True
2018-01-05,14,outer,6,6,6,0,0,0,0,6,0,True
2018-01-05,15,core,15,15,12,3,3,0,0,15,0,True
2018-01-05,15,near,27,28,24,4,3,0,0,28,0,True
2018-01-05,15,outer,6,4,2,2,3,1,0,4,0,True
2018-01-05,16,core,15,15,14,1,0,1,0,15,0,True
2018-01-05,16,near,28,28,27,0,1,0,1,28,0,True
2018-01-05,16,outer,4,6,4,0,0,0,2,6,0,True
2018-01-05,17,core,15,11,11,0,3,1,0,11,0,True
2018-01-05,17,near,28,30,27,3,0,1,0,30,0,True
2018-01-05,17,outer,6,4,3,1,1,2,0,4,0,True
2018-01-05,18,core,11,10,7,3,4,0,0,10,0,True
2018-01-05,18,near,30,31,27,4,3,0,0,31,0,True
2018-01-05,18,outer,4,4,4,0,0,0,0,4,0,True
2018-01-05,19,core,10,13,10,3,0,0,0,13,0,True
2018-01-05,19,near,31,28,27,0,4,0,1,28,0,True
2018-01-05,19,outer,4,6,4,1,0,0,1,6,0,True
2018-01-05,20,core,13,13,13,0,0,0,0,13,0,True
2018-01-05,20,near,28,27,26,1,0,2,0,27,0,True
2018-01-05,20,outer,6,5,5,0,1,0,0,5,0,True
2018-01-05,21,core,13,13,13,0,0,0,0,13,0,True
2018-01-05,21,near,27,28,27,1,0,0,0,28,0,True
2018-01-05,21,outer,5,4,4,0,1,0,0,4,0,True
2018-01-05,22,core,13,14,13,1,0,0,0,14,0,True
2018-01-05,22,near,28,28,27,0,1,0,1,28,0,True
2018-01-05,22,outer,4,4,4,0,0,0,0,4,0,True
2018-01-05,23,core,14,14,14,0,0,0,0,14,0,True
2018-01-05,23,near,28,27,27,0,0,1,0,27,0,True
2018-01-05,23,outer,4,5,4,0,0,0,1,5,0,True
2018-01-06,0,core,14,14,14,0,0,0,0,14,0,True
2018-01-06,0,near,27,27,27,0,0,0,0,27,0,True
2018-01-06,0,outer,5,5,5,0,0,0,0,5,0,True
2018-01-06,1,core,14,14,14,0,0,0,0,14,0,True
2018-01-06,1,near,27,30,27,1,0,0,2,30,0,True
2018-01-06,1,outer,5,6,4,0,1,0,2,6,0,True
2018-01-06,2,core,14,14,13,1,1,0,0,14,0,True
2018-01-06,2,near,30,30,29,1,0,1,0,30,0,True
2018-01-06,2,outer,6,4,4,0,1,1,0,4,0,True
2018-01-06,3,core,14,15,14,1,0,0,0,15,0,True
2018-01-06,3,near,30,28,28,0,2,0,0,28,0,True
2018-01-06,3,outer,4,5,4,1,0,0,0,5,0,True
2018-01-06,4,core,15,15,15,0,0,0,0,15,0,True
2018-01-06,4,near,28,28,28,0,0,0,0,28,0,True
2018-01-06,4,outer,5,5,5,0,0,0,0,5,0,True
2018-01-06,5,core,15,14,14,0,1,0,0,14,0,True
2018-01-06,5,near,28,30,28,2,0,0,0,30,0,True
2018-01-06,5,outer,5,4,3,1,2,0,0,4,0,True
2018-01-06,6,core,14,8,8,0,6,0,0,8,0,True
2018-01-06,6,near,30,34,30,4,0,0,0,34,0,True
2018-01-06,6,outer,4,6,4,2,0,0,0,6,0,True
2018-01-06,7,core,8,11,7,4,1,0,0,11,0,True
2018-01-06,7,near,34,32,29,2,5,0,1,32,0,True
2018-01-06,7,outer,6,7,5,1,1,0,1,7,0,True
2018-01-06,8,core,11,9,9,0,2,0,0,9,0,True
2018-01-06,8,near,32,34,31,2,0,1,1,34,0,True
2018-01-06,8,outer,7,6,6,0,0,1,0,6,0,True
2018-01-06,9,core,9,9,7,2,2,0,0,9,0,True
2018-01-06,9,near,34,35,30,5,3,1,0,35,0,True
2018-01-06,9,outer,6,6,3,1,3,0,2,6,0,True
2018-01-06,10,core,9,7,7,0,2,0,0,7,0,True
2018-01-06,10,near,35,37,34,3,0,1,0,37,0,True
2018-01-06,10,outer,6,4,3,0,1,2,1,4,0,True
2018-01-06,11,core,7,7,7,0,0,0,0,7,0,True
2018-01-06,11,near,37,31,31,0,5,1,0,31,0,True
2018-01-06,11,outer,4,10,4,5,0,0,1,10,0,True
2018-01-06,12,core,7,12,7,5,0,0,0,12,0,True
2018-01-06,12,near,31,30,29,1,2,0,0,30,0,True
2018-01-06,12,outer,10,6,5,0,4,1,1,6,0,True
2018-01-06,13,core,12,12,12,0,0,0,0,12,0,True
2018-01-06,13,near,30,29,28,0,0,2,1,29,0,True
2018-01-06,13,outer,6,5,5,0,0,1,0,5,0,True
2018-01-06,14,core,12,11,11,0,1,0,0,11,0,True
2018-01-06,14,near,29,31,28,1,1,0,2,31,0,True
2018-01-06,14,outer,5,6,5,1,0,0,0,6,0,True
2018-01-06,15,core,11,13,11,2,0,0,0,13,0,True
2018-01-06,15,near,31,31,28,1,2,1,2,31,0,True
2018-01-06,15,outer,6,4,4,0,1,1,0,4,0,True
2018-01-06,16,core,13,14,13,1,0,0,0,14,0,True
2018-01-06,16,near,31,30,30,0,1,0,0,30,0,True
2018-01-06,16,outer,4,4,4,0,0,0,0,4,0,True
2018-01-06,17,core,14,13,13,0,1,0,0,13,0,True
2018-01-06,17,near,30,32,30,2,0,0,0,32,0,True
2018-01-06,17,outer,4,3,3,0,1,0,0,3,0,True
2018-01-06,18,core,13,13,13,0,0,0,0,13,0,True
2018-01-06,18,near,32,31,31,0,1,0,0,31,0,True
2018-01-06,18,outer,3,4,3,1,0,0,0,4,0,True
2018-01-06,19,core,13,14,13,1,0,0,0,14,0,True
2018-01-06,19,near,31,28,28,0,2,1,0,28,0,True
2018-01-06,19,outer,4,6,4,1,0,0,1,6,0,True
2018-01-06,20,core,14,15,14,1,0,0,0,15,0,True
2018-01-06,20,near,28,27,26,0,1,1,1,27,0,True
2018-01-06,20,outer,6,5,5,0,0,1,0,5,0,True
2018-01-06,21,core,15,15,15,0,0,0,0,15,0,True
2018-01-06,21,near,27,27,26,0,0,1,1,27,0,True
2018-01-06,21,outer,5,4,4,0,0,1,0,4,0,True
2018-01-06,22,core,15,13,13,0,2,0,0,13,0,True
2018-01-06,22,near,27,29,27,2,0,0,0,29,0,True
2018-01-06,22,outer,4,4,4,0,0,0,0,4,0,True
2018-01-06,23,core,13,14,13,1,0,0,0,14,0,True
2018-01-06,23,near,29,24,24,0,5,0,0,24,0,True
2018-01-06,23,outer,4,9,4,4,0,0,1,9,0,True
2018-01-07,0,core,14,14,14,0,0,0,0,14,0,True
2018-01-07,0,near,24,24,24,0,0,0,0,24,0,True
2018-01-07,0,outer,9,8,8,0,0,1,0,8,0,True
2018-01-07,1,core,14,14,14,0,0,0,0,14,0,True
2018-01-07,1,near,24,25,24,1,0,0,0,25,0,True
2018-01-07,1,outer,8,5,4,0,1,3,1,5,0,True
2018-01-07,2,core,14,10,8,2,6,0,0,10,0,True
2018-01-07,2,near,25,30,24,6,1,0,0,30,0,True
2018-01-07,2,outer,5,5,4,0,1,0,1,5,0,True
2018-01-07,3,core,10,15,9,6,1,0,0,15,0,True
2018-01-07,3,near,30,25,24,1,6,0,0,25,0,True
2018-01-07,3,outer,5,4,4,0,0,1,0,4,0,True
2018-01-07,4,core,15,15,15,0,0,0,0,15,0,True
2018-01-07,4,near,25,25,25,0,0,0,0,25,0,True
2018-01-07,4,outer,4,4,3,0,0,1,1,4,0,True
2018-01-07,5,core,15,13,13,0,2,0,0,13,0,True
2018-01-07,5,near,25,27,25,2,0,0,0,27,0,True
2018-01-07,5,outer,4,4,4,0,0,0,0,4,0,True
2018-01-07,6,core,13,14,12,2,1,0,0,14,0,True
2018-01-07,6,near,27,27,25,1,2,0,1,27,0,True
2018-01-07,6,outer,4,5,4,0,0,0,1,5,0,True
2018-01-07,7,core,14,13,12,1,2,0,0,13,0,True
2018-01-07,7,near,27,26,24,2,2,1,0,26,0,True
2018-01-07,7,outer,5,7,5,1,0,0,1,7,0,True
2018-01-07,8,core,13,17,12,4,1,0,1,17,0,True
2018-01-07,8,near,26,22,21,1,5,0,0,22,0,True
2018-01-07,8,outer,7,7,5,2,1,1,0,7,0,True
