evaluation_id,region,hour_of_day,n_days,mean_residual,median_residual,residual_std,positive_count,negative_count,zero_count,baseline_sse,plus_one_sse,minus_one_sse,plus_one_delta_sse,minus_one_delta_sse
fold_06,core,20,7,-2.7142857142857144,-3.0,5.122313465427046,2,5,0,209.0,254.0,178.0,45.0,-31.0
fold_06,core,21,7,-0.5714285714285714,-1.0,1.618347187425374,2,4,1,18.0,33.0,17.0,15.0,-1.0
fold_06,core,22,7,-0.8571428571428571,-1.0,4.740906081772816,3,4,0,140.0,159.0,135.0,19.0,-5.0
fold_06,core,23,7,-2.142857142857143,-2.0,4.375255094603872,2,5,0,147.0,184.0,124.0,37.0,-23.0
fold_06,near,0,7,-0.5714285714285714,-1.0,3.101458950082625,1,5,1,60.0,75.0,59.0,15.0,-1.0
fold_06,near,1,7,-0.42857142857142855,-1.0,1.1338934190276817,1,5,1,9.0,22.0,10.0,13.0,1.0
fold_06,near,2,7,0.14285714285714285,0.0,2.0354009783964293,2,2,3,25.0,30.0,34.0,5.0,9.0
fold_06,near,3,7,-1.0,-2.0,3.1622776601683795,2,5,0,67.0,88.0,60.0,21.0,-7.0
fold_06,near,4,7,0.0,-1.0,1.8257418583505538,2,4,1,20.0,27.0,27.0,7.0,7.0
fold_06,near,5,7,-0.8571428571428571,-1.0,1.3451854182690985,2,5,0,16.0,35.0,11.0,19.0,-5.0
fold_06,near,6,7,-0.8571428571428571,-1.0,1.9518001458970664,1,5,1,28.0,47.0,23.0,19.0,-5.0
fold_06,near,7,7,-1.2857142857142858,-2.0,2.5634797778466227,1,4,2,51.0,76.0,40.0,25.0,-11.0
fold_06,near,8,7,-0.42857142857142855,1.0,2.699206232527312,4,3,0,45.0,58.0,46.0,13.0,1.0
fold_06,near,9,7,0.2857142857142857,0.0,2.5634797778466227,3,3,1,40.0,43.0,51.0,3.0,11.0
fold_06,near,10,7,-1.1428571428571428,-1.0,2.6726124191242437,2,4,1,52.0,75.0,43.0,23.0,-9.0
fold_06,near,11,7,-2.857142857142857,-4.0,3.9761191895520196,1,6,0,152.0,199.0,119.0,47.0,-33.0
fold_06,near,12,7,-0.7142857142857143,-2.0,3.8172540616821107,2,5,0,91.0,108.0,88.0,17.0,-3.0
