date_i,date_j,U_i,U_j,dU,H_i,H_j,dH,c_i,c_j,dc
2018-01-03,2018-01-24,58,48,10,364.0,366.0,-2.0,6.275862068965517,7.625,-1.349137931034483
2018-01-04,2018-01-05,55,57,-2,316.0,324.0,-8.0,5.745454545454545,5.684210526315789,0.06124401913875577
2018-01-04,2018-01-06,55,61,-6,316.0,304.0,12.0,5.745454545454545,4.983606557377049,0.7618479880774958
2018-01-04,2018-01-07,55,60,-5,316.0,363.0,-47.0,5.745454545454545,6.05,-0.3045454545454547
2018-01-04,2018-01-08,55,56,-1,316.0,302.0,14.0,5.745454545454545,5.392857142857143,0.3525974025974019
2018-01-04,2018-01-09,55,54,1,316.0,296.0,20.0,5.745454545454545,5.481481481481482,0.2639730639730633
2018-01-04,2018-01-10,55,54,1,316.0,263.0,53.0,5.745454545454545,4.87037037037037,0.8750841750841749
2018-01-04,2018-01-11,55,54,1,316.0,264.0,52.0,5.745454545454545,4.888888888888889,0.8565656565656559
2018-01-04,2018-01-19,55,52,3,316.0,247.0,69.0,5.745454545454545,4.75,0.9954545454545451
2018-01-04,2018-01-20,55,55,0,316.0,400.0,-84.0,5.745454545454545,7.2727272727272725,-1.5272727272727273
2018-01-04,2018-01-21,55,54,1,316.0,407.0,-91.0,5.745454545454545,7.537037037037037,-1.791582491582492
2018-01-04,2018-01-22,55,52,3,316.0,261.0,55.0,5.745454545454545,5.019230769230769,0.726223776223776
2018-01-04,2018-01-23,55,48,7,316.0,325.0,-9.0,5.745454545454545,6.770833333333333,-1.025378787878788
2018-01-04,2018-01-24,55,48,7,316.0,366.0,-50.0,5.745454545454545,7.625,-1.8795454545454549
2018-01-05,2018-01-06,57,61,-4,324.0,304.0,20.0,5.684210526315789,4.983606557377049,0.70060396893874
2018-01-05,2018-01-07,57,60,-3,324.0,363.0,-39.0,5.684210526315789,6.05,-0.36578947368421044
2018-01-05,2018-01-08,57,56,1,324.0,302.0,22.0,5.684210526315789,5.392857142857143,0.29135338345864614
2018-01-05,2018-01-09,57,54,3,324.0,296.0,28.0,5.684210526315789,5.481481481481482,0.20272904483430754
2018-01-05,2018-01-10,57,54,3,324.0,263.0,61.0,5.684210526315789,4.87037037037037,0.8138401559454191
2018-01-05,2018-01-11,57,54,3,324.0,264.0,60.0,5.684210526315789,4.888888888888889,0.7953216374269001
2018-01-05,2018-01-19,57,52,5,324.0,247.0,77.0,5.684210526315789,4.75,0.9342105263157894
2018-01-05,2018-01-20,57,55,2,324.0,400.0,-76.0,5.684210526315789,7.2727272727272725,-1.588516746411483
2018-01-05,2018-01-21,57,54,3,324.0,407.0,-83.0,5.684210526315789,7.537037037037037,-1.8528265107212478
2018-01-05,2018-01-22,57,52,5,324.0,261.0,63.0,5.684210526315789,5.019230769230769,0.6649797570850202
2018-01-05,2018-01-23,57,48,9,324.0,325.0,-1.0,5.684210526315789,6.770833333333333,-1.0866228070175437
2018-01-05,2018-01-24,57,48,9,324.0,366.0,-42.0,5.684210526315789,7.625,-1.9407894736842106
2018-01-06,2018-01-07,61,60,1,304.0,363.0,-59.0,4.983606557377049,6.05,-1.0663934426229504
2018-01-06,2018-01-08,61,56,5,304.0,302.0,2.0,4.983606557377049,5.392857142857143,-0.40925058548009385
2018-01-06,2018-01-09,61,54,7,304.0,296.0,8.0,4.983606557377049,5.481481481481482,-0.49787492410443246
