evaluation_id,evaluation_type,method,task_key,pair,direction_role,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_02,rolling_7d,hybrid_core_near_bypaircv,core->outer,core_outer,forward,168,33.0,14.0,41.38410123966942,45.0,0.26785714285714285,0.20833333333333334,-0.1130952380952381,0.8511904761904762,0.9166666666666666
fold_02,rolling_7d,hybrid_core_near_bypaircv,outer->core,core_outer,reverse,168,32.0,0.0,43.49756198347107,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047,0.8630952380952381,1.0
fold_03,rolling_7d,circular3_all,core->near,core_near,forward,168,186.0,189.0,343.75362287649216,355.0,2.113095238095238,1.125,0.017857142857142856,0.5535714285714286,0.125
fold_03,rolling_7d,circular3_all,near->core,core_near,reverse,168,172.0,189.0,246.98555153810838,259.0,1.5416666666666667,0.9702380952380952,0.10119047619047619,0.48214285714285715,0.041666666666666664
fold_03,rolling_7d,circular3_all,near->outer,near_outer,forward,168,58.0,35.0,107.95566460055096,115.0,0.6845238095238095,0.375,-0.13690476190476192,0.7857142857142857,0.7916666666666666
fold_03,rolling_7d,circular3_all,outer->near,near_outer,reverse,168,60.0,49.0,73.37325671487605,97.0,0.5773809523809523,0.4107142857142857,-0.06547619047619048,0.7261904761904762,0.7083333333333334
fold_03,rolling_7d,circular3_all,core->outer,core_outer,forward,168,29.0,14.0,36.790870351239676,39.0,0.23214285714285715,0.19642857142857142,-0.08928571428571429,0.8630952380952381,0.9166666666666666
fold_03,rolling_7d,circular3_all,outer->core,core_outer,reverse,168,31.0,0.0,41.179737718089996,49.0,0.2916666666666667,0.18452380952380953,-0.18452380952380953,0.8690476190476191,1.0
fold_03,rolling_7d,hybrid_core_near_default,core->near,core_near,forward,168,186.0,182.0,345.90396471573183,354.0,2.107142857142857,1.1071428571428572,-0.023809523809523808,0.5535714285714286,0.125
fold_03,rolling_7d,hybrid_core_near_default,near->core,core_near,reverse,168,172.0,182.0,253.86333146456104,272.0,1.619047619047619,0.9761904761904762,0.05952380952380952,0.48214285714285715,0.08333333333333333
fold_03,rolling_7d,hybrid_core_near_default,near->outer,near_outer,forward,168,58.0,35.0,107.95566460055096,115.0,0.6845238095238095,0.375,-0.13690476190476192,0.7857142857142857,0.7916666666666666
fold_03,rolling_7d,hybrid_core_near_default,outer->near,near_outer,reverse,168,60.0,49.0,73.37325671487605,97.0,0.5773809523809523,0.4107142857142857,-0.06547619047619048,0.7261904761904762,0.7083333333333334
fold_03,rolling_7d,hybrid_core_near_default,core->outer,core_outer,forward,168,29.0,14.0,36.790870351239676,39.0,0.23214285714285715,0.19642857142857142,-0.08928571428571429,0.8630952380952381,0.9166666666666666
fold_03,rolling_7d,hybrid_core_near_default,outer->core,core_outer,reverse,168,31.0,0.0,41.179737718089996,49.0,0.2916666666666667,0.18452380952380953,-0.18452380952380953,0.8690476190476191,1.0
fold_03,rolling_7d,hybrid_core_near_globalcv,core->near,core_near,forward,168,186.0,189.0,351.95439795537175,361.0,2.1488095238095237,1.1488095238095237,0.017857142857142856,0.5535714285714286,0.08333333333333333
fold_03,rolling_7d,hybrid_core_near_globalcv,near->core,core_near,reverse,168,172.0,189.0,254.6717673608066,271.0,1.6130952380952381,0.9940476190476191,0.10119047619047619,0.48214285714285715,0.041666666666666664
fold_03,rolling_7d,hybrid_core_near_globalcv,near->outer,near_outer,forward,168,58.0,35.0,107.95566460055096,115.0,0.6845238095238095,0.375,-0.13690476190476192,0.7857142857142857,0.7916666666666666
fold_03,rolling_7d,hybrid_core_near_globalcv,outer->near,near_outer,reverse,168,60.0,49.0,73.37325671487605,97.0,0.5773809523809523,0.4107142857142857,-0.06547619047619048,0.7261904761904762,0.7083333333333334
fold_03,rolling_7d,hybrid_core_near_globalcv,core->outer,core_outer,forward,168,29.0,14.0,36.790870351239676,39.0,0.23214285714285715,0.19642857142857142,-0.08928571428571429,0.8630952380952381,0.9166666666666666
fold_03,rolling_7d,hybrid_core_near_globalcv,outer->core,core_outer,reverse,168,31.0,0.0,41.179737718089996,49.0,0.2916666666666667,0.18452380952380953,-0.18452380952380953,0.8690476190476191,1.0
fold_03,rolling_7d,hybrid_core_near_bypaircv,core->near,core_near,forward,168,186.0,189.0,343.6522087018681,361.0,2.1488095238095237,1.1488095238095237,0.017857142857142856,0.5535714285714286,0.08333333333333333
fold_03,rolling_7d,hybrid_core_near_bypaircv,near->core,core_near,reverse,168,172.0,189.0,256.86310611351865,271.0,1.6130952380952381,0.9940476190476191,0.10119047619047619,0.48214285714285715,0.041666666666666664
fold_03,rolling_7d,hybrid_core_near_bypaircv,near->outer,near_outer,forward,168,58.0,35.0,107.95566460055096,115.0,0.6845238095238095,0.375,-0.13690476190476192,0.7857142857142857,0.7916666666666666
fold_03,rolling_7d,hybrid_core_near_bypaircv,outer->near,near_outer,reverse,168,60.0,49.0,73.37325671487605,97.0,0.5773809523809523,0.4107142857142857,-0.06547619047619048,0.7261904761904762,0.7083333333333334
fold_03,rolling_7d,hybrid_core_near_bypaircv,core->outer,core_outer,forward,168,29.0,14.0,36.790870351239676,39.0,0.23214285714285715,0.19642857142857142,-0.08928571428571429,0.8630952380952381,0.9166666666666666
fold_03,rolling_7d,hybrid_core_near_bypaircv,outer->core,core_outer,reverse,168,31.0,0.0,41.179737718089996,49.0,0.2916666666666667,0.18452380952380953,-0.18452380952380953,0.8690476190476191,1.0
fold_04,rolling_7d,circular3_all,core->near,core_near,forward,168,189.0,189.0,337.4093164447732,350.0,2.0833333333333335,1.130952380952381,0.0,0.5476190476190477,0.08333333333333333
fold_04,rolling_7d,circular3_all,near->core,core_near,reverse,168,170.0,203.0,239.72417406311635,257.0,1.5297619047619047,0.9821428571428571,0.19642857142857142,0.47619047619047616,0.041666666666666664
fold_04,rolling_7d,circular3_all,near->outer,near_outer,forward,168,56.0,35.0,83.99211045364892,93.0,0.5535714285714286,0.35119047619047616,-0.125,0.7857142857142857,0.7916666666666666
fold_04,rolling_7d,circular3_all,outer->near,near_outer,reverse,168,67.0,70.0,95.14742048816568,111.0,0.6607142857142857,0.47023809523809523,0.017857142857142856,0.7261904761904762,0.5833333333333334
fold_04,rolling_7d,circular3_all,core->outer,core_outer,forward,168,27.0,14.0,31.95461969921104,33.0,0.19642857142857142,0.17261904761904762,-0.07738095238095238,0.8690476190476191,0.9166666666666666
fold_04,rolling_7d,circular3_all,outer->core,core_outer,reverse,168,32.0,0.0,41.58043639053255,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047,0.8630952380952381,1.0
fold_04,rolling_7d,hybrid_core_near_default,core->near,core_near,forward,168,189.0,175.0,337.53749779585644,346.0,2.0595238095238093,1.1071428571428572,-0.08333333333333333,0.5476190476190477,0.125
fold_04,rolling_7d,hybrid_core_near_default,near->core,core_near,reverse,168,170.0,189.0,243.68948901651706,255.0,1.5178571428571428,0.9702380952380952,0.1130952380952381,0.47619047619047616,0.041666666666666664
fold_04,rolling_7d,hybrid_core_near_default,near->outer,near_outer,forward,168,56.0,35.0,83.99211045364892,93.0,0.5535714285714286,0.35119047619047616,-0.125,0.7857142857142857,0.7916666666666666
fold_04,rolling_7d,hybrid_core_near_default,outer->near,near_outer,reverse,168,67.0,70.0,95.14742048816568,111.0,0.6607142857142857,0.47023809523809523,0.017857142857142856,0.7261904761904762,0.5833333333333334
fold_04,rolling_7d,hybrid_core_near_default,core->outer,core_outer,forward,168,27.0,14.0,31.95461969921104,33.0,0.19642857142857142,0.17261904761904762,-0.07738095238095238,0.8690476190476191,0.9166666666666666
