evaluation_id,evaluation_type,method,pair,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_04,rolling_7d,circular3_all,core_outer,336,59.0,14.0,73.53505608974359,83.0,0.24702380952380953,0.18154761904761904,-0.13392857142857142,0.8660714285714286,0.9583333333333334
fold_04,rolling_7d,hybrid_core_near_default,core_near,336,359.0,364.0,581.2269868123735,601.0,1.7886904761904763,1.0386904761904763,0.01488095238095238,0.5119047619047619,0.08333333333333333
fold_04,rolling_7d,hybrid_core_near_default,near_outer,336,123.0,105.0,179.1395309418146,204.0,0.6071428571428571,0.4107142857142857,-0.05357142857142857,0.7559523809523809,0.6875
fold_04,rolling_7d,hybrid_core_near_default,core_outer,336,59.0,14.0,73.53505608974359,83.0,0.24702380952380953,0.18154761904761904,-0.13392857142857142,0.8660714285714286,0.9583333333333334
fold_04,rolling_7d,hybrid_core_near_globalcv,core_near,336,359.0,378.0,586.210157544965,609.0,1.8125,1.056547619047619,0.05654761904761905,0.5119047619047619,0.0625
fold_04,rolling_7d,hybrid_core_near_globalcv,near_outer,336,123.0,105.0,179.1395309418146,204.0,0.6071428571428571,0.4107142857142857,-0.05357142857142857,0.7559523809523809,0.6875
fold_04,rolling_7d,hybrid_core_near_globalcv,core_outer,336,59.0,14.0,73.53505608974359,83.0,0.24702380952380953,0.18154761904761904,-0.13392857142857142,0.8660714285714286,0.9583333333333334
fold_04,rolling_7d,hybrid_core_near_bypaircv,core_near,336,359.0,378.0,593.0274119665002,615.0,1.8303571428571428,1.0625,0.05654761904761905,0.5119047619047619,0.0625
fold_04,rolling_7d,hybrid_core_near_bypaircv,near_outer,336,123.0,105.0,179.1395309418146,204.0,0.6071428571428571,0.4107142857142857,-0.05357142857142857,0.7559523809523809,0.6875
fold_04,rolling_7d,hybrid_core_near_bypaircv,core_outer,336,59.0,14.0,73.53505608974359,83.0,0.24702380952380953,0.18154761904761904,-0.13392857142857142,0.8660714285714286,0.9583333333333334
fold_05,rolling_7d,circular3_all,core_near,336,382.0,378.0,575.6648615807269,584.0,1.7380952380952381,1.0178571428571428,-0.011904761904761904,0.46130952380952384,0.0625
fold_05,rolling_7d,circular3_all,near_outer,336,129.0,112.0,192.40384615384616,225.0,0.6696428571428571,0.45535714285714285,-0.050595238095238096,0.75,0.6666666666666666
fold_05,rolling_7d,circular3_all,core_outer,336,63.0,14.0,81.88255494505495,93.0,0.2767857142857143,0.19940476190476192,-0.14583333333333334,0.8541666666666666,0.9583333333333334
fold_05,rolling_7d,hybrid_core_near_default,core_near,336,382.0,371.0,571.2981995523381,583.0,1.7351190476190477,1.0089285714285714,-0.03273809523809524,0.46130952380952384,0.08333333333333333
fold_05,rolling_7d,hybrid_core_near_default,near_outer,336,129.0,112.0,192.40384615384616,225.0,0.6696428571428571,0.45535714285714285,-0.050595238095238096,0.75,0.6666666666666666
fold_05,rolling_7d,hybrid_core_near_default,core_outer,336,63.0,14.0,81.88255494505495,93.0,0.2767857142857143,0.19940476190476192,-0.14583333333333334,0.8541666666666666,0.9583333333333334
fold_05,rolling_7d,hybrid_core_near_globalcv,core_near,336,382.0,378.0,573.1739242933979,580.0,1.7261904761904763,1.0119047619047619,-0.011904761904761904,0.46130952380952384,0.08333333333333333
fold_05,rolling_7d,hybrid_core_near_globalcv,near_outer,336,129.0,112.0,192.40384615384616,225.0,0.6696428571428571,0.45535714285714285,-0.050595238095238096,0.75,0.6666666666666666
fold_05,rolling_7d,hybrid_core_near_globalcv,core_outer,336,63.0,14.0,81.88255494505495,93.0,0.2767857142857143,0.19940476190476192,-0.14583333333333334,0.8541666666666666,0.9583333333333334
fold_05,rolling_7d,hybrid_core_near_bypaircv,core_near,336,382.0,378.0,573.1739242933979,580.0,1.7261904761904763,1.0119047619047619,-0.011904761904761904,0.46130952380952384,0.08333333333333333
fold_05,rolling_7d,hybrid_core_near_bypaircv,near_outer,336,129.0,112.0,192.40384615384616,225.0,0.6696428571428571,0.45535714285714285,-0.050595238095238096,0.75,0.6666666666666666
fold_05,rolling_7d,hybrid_core_near_bypaircv,core_outer,336,63.0,14.0,81.88255494505495,93.0,0.2767857142857143,0.19940476190476192,-0.14583333333333334,0.8541666666666666,0.9583333333333334
