evaluation_id,evaluation_type,method,forecast_horizon,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_07,rolling_7d,circular3_all,5,144,150.0,1.0416666666666667,0.6111111111111112,-0.125
fold_07,rolling_7d,circular3_all,6,144,99.0,0.6875,0.5208333333333334,0.13194444444444445
fold_07,rolling_7d,circular3_all,7,144,108.0,0.75,0.5138888888888888,-0.1111111111111111
fold_07,rolling_7d,hybrid_core_near_default,1,144,133.0,0.9236111111111112,0.5625,-0.13194444444444445
fold_07,rolling_7d,hybrid_core_near_default,2,144,139.0,0.9652777777777778,0.5902777777777778,-0.14583333333333334
fold_07,rolling_7d,hybrid_core_near_default,3,144,106.0,0.7361111111111112,0.5,0.05555555555555555
fold_07,rolling_7d,hybrid_core_near_default,4,144,120.0,0.8333333333333334,0.5416666666666666,-0.16666666666666666
fold_07,rolling_7d,hybrid_core_near_default,5,144,148.0,1.0277777777777777,0.6111111111111112,-0.1388888888888889
fold_07,rolling_7d,hybrid_core_near_default,6,144,103.0,0.7152777777777778,0.5208333333333334,0.11805555555555555
fold_07,rolling_7d,hybrid_core_near_default,7,144,94.0,0.6527777777777778,0.4722222222222222,-0.125
fold_07,rolling_7d,hybrid_core_near_globalcv,1,144,134.0,0.9305555555555556,0.5694444444444444,-0.1111111111111111
fold_07,rolling_7d,hybrid_core_near_globalcv,2,144,134.0,0.9305555555555556,0.5833333333333334,-0.125
fold_07,rolling_7d,hybrid_core_near_globalcv,3,144,109.0,0.7569444444444444,0.5208333333333334,0.0763888888888889
fold_07,rolling_7d,hybrid_core_near_globalcv,4,144,119.0,0.8263888888888888,0.5347222222222222,-0.14583333333333334
fold_07,rolling_7d,hybrid_core_near_globalcv,5,144,151.0,1.0486111111111112,0.6180555555555556,-0.11805555555555555
fold_07,rolling_7d,hybrid_core_near_globalcv,6,144,104.0,0.7222222222222222,0.5277777777777778,0.1388888888888889
fold_07,rolling_7d,hybrid_core_near_globalcv,7,144,99.0,0.6875,0.4930555555555556,-0.10416666666666667
fold_07,rolling_7d,hybrid_core_near_bypaircv,1,144,134.0,0.9305555555555556,0.5694444444444444,-0.1111111111111111
fold_07,rolling_7d,hybrid_core_near_bypaircv,2,144,136.0,0.9444444444444444,0.5972222222222222,-0.125
fold_07,rolling_7d,hybrid_core_near_bypaircv,3,144,109.0,0.7569444444444444,0.5208333333333334,0.0763888888888889
fold_07,rolling_7d,hybrid_core_near_bypaircv,4,144,123.0,0.8541666666666666,0.5486111111111112,-0.14583333333333334
fold_07,rolling_7d,hybrid_core_near_bypaircv,5,144,147.0,1.0208333333333333,0.6041666666666666,-0.11805555555555555
fold_07,rolling_7d,hybrid_core_near_bypaircv,6,144,102.0,0.7083333333333334,0.5277777777777778,0.1388888888888889
fold_07,rolling_7d,hybrid_core_near_bypaircv,7,144,97.0,0.6736111111111112,0.4930555555555556,-0.10416666666666667
fold_08,rolling_7d,circular3_all,1,144,147.0,1.0208333333333333,0.6180555555555556,-0.14583333333333334
fold_08,rolling_7d,circular3_all,2,144,104.0,0.7222222222222222,0.5,0.05555555555555555
fold_08,rolling_7d,circular3_all,3,144,116.0,0.8055555555555556,0.5416666666666666,-0.16666666666666666
fold_08,rolling_7d,circular3_all,4,144,148.0,1.0277777777777777,0.5972222222222222,-0.1388888888888889
fold_08,rolling_7d,circular3_all,5,144,103.0,0.7152777777777778,0.5208333333333334,0.11805555555555555
fold_08,rolling_7d,circular3_all,6,144,100.0,0.6944444444444444,0.4861111111111111,-0.125
fold_08,rolling_7d,circular3_all,7,138,179.0,1.2971014492753623,0.5144927536231884,-0.13768115942028986
fold_08,rolling_7d,hybrid_core_near_default,1,144,139.0,0.9652777777777778,0.5902777777777778,-0.1597222222222222
fold_08,rolling_7d,hybrid_core_near_default,2,144,104.0,0.7222222222222222,0.4861111111111111,0.041666666666666664
fold_08,rolling_7d,hybrid_core_near_default,3,144,120.0,0.8333333333333334,0.5416666666666666,-0.18055555555555555
fold_08,rolling_7d,hybrid_core_near_default,4,144,148.0,1.0277777777777777,0.5972222222222222,-0.1527777777777778
fold_08,rolling_7d,hybrid_core_near_default,5,144,101.0,0.7013888888888888,0.5069444444444444,0.10416666666666667
fold_08,rolling_7d,hybrid_core_near_default,6,144,92.0,0.6388888888888888,0.4583333333333333,-0.1388888888888889
fold_08,rolling_7d,hybrid_core_near_default,7,138,189.0,1.3695652173913044,0.5289855072463768,-0.15217391304347827
fold_08,rolling_7d,hybrid_core_near_globalcv,1,144,134.0,0.9305555555555556,0.5833333333333334,-0.1388888888888889
fold_08,rolling_7d,hybrid_core_near_globalcv,2,144,107.0,0.7430555555555556,0.5069444444444444,0.0625
