source_configuration,subset,component,n_hour_rows,full_total,ablated_total,retained_total_ratio,sse_against_full,mae_against_full,mean_bias_against_full,exact_match_rate
without_e_globe_daily,degraded_period,near->core,168,184.0,190.0,1.0326086956521738,86.0,0.35714285714285715,0.03571428571428571,0.7142857142857143
without_e_globe_daily,degraded_period,near->outer,168,57.0,54.0,0.9473684210526315,33.0,0.16071428571428573,-0.017857142857142856,0.8571428571428571
without_e_globe_daily,degraded_period,outer->core,168,32.0,25.0,0.78125,13.0,0.06547619047619048,-0.041666666666666664,0.9404761904761905
without_e_globe_daily,degraded_period,outer->near,168,63.0,63.0,1.0,20.0,0.10714285714285714,0.0,0.8988095238095238
without_e_globe_daily,post_recovery,overall,864,468.0,463.0,0.9893162393162394,25.0,0.028935185185185185,-0.005787037037037037,0.9710648148148148
without_e_globe_daily,post_recovery,core->near,144,153.0,154.0,1.0065359477124183,9.0,0.0625,0.006944444444444444,0.9375
without_e_globe_daily,post_recovery,core->outer,144,35.0,33.0,0.9428571428571428,2.0,0.013888888888888888,-0.013888888888888888,0.9861111111111112
without_e_globe_daily,post_recovery,near->core,144,156.0,154.0,0.9871794871794872,6.0,0.041666666666666664,-0.013888888888888888,0.9583333333333334
without_e_globe_daily,post_recovery,near->outer,144,44.0,44.0,1.0,4.0,0.027777777777777776,0.0,0.9722222222222222
without_e_globe_daily,post_recovery,outer->core,144,29.0,30.0,1.0344827586206897,1.0,0.006944444444444444,0.006944444444444444,0.9930555555555556
without_e_globe_daily,post_recovery,outer->near,144,51.0,48.0,0.9411764705882353,3.0,0.020833333333333332,-0.020833333333333332,0.9791666666666666
without_f_globe_dynamic,all,overall,3456,1910.0,1880.0,0.9842931937172775,218.0,0.05439814814814815,-0.008680555555555556,0.9496527777777778
without_f_globe_dynamic,all,core->near,576,624.0,619.0,0.9919871794871795,79.0,0.10590277777777778,-0.008680555555555556,0.9079861111111112
without_f_globe_dynamic,all,core->outer,576,124.0,124.0,1.0,16.0,0.027777777777777776,0.0,0.9722222222222222
without_f_globe_dynamic,all,near->core,576,633.0,624.0,0.985781990521327,55.0,0.08159722222222222,-0.015625,0.9253472222222222
without_f_globe_dynamic,all,near->outer,576,197.0,188.0,0.9543147208121827,21.0,0.036458333333333336,-0.015625,0.9635416666666666
without_f_globe_dynamic,all,outer->core,576,107.0,106.0,0.9906542056074766,17.0,0.029513888888888888,-0.001736111111111111,0.9704861111111112
without_f_globe_dynamic,all,outer->near,576,225.0,219.0,0.9733333333333334,30.0,0.04513888888888889,-0.010416666666666666,0.9583333333333334
without_f_globe_dynamic,pre_outage,overall,1584,881.0,878.0,0.996594778660613,35.0,0.018308080808080808,-0.001893939393939394,0.9835858585858586
without_f_globe_dynamic,pre_outage,core->near,264,279.0,280.0,1.003584229390681,13.0,0.041666666666666664,0.003787878787878788,0.9621212121212122
without_f_globe_dynamic,pre_outage,core->outer,264,56.0,55.0,0.9821428571428571,5.0,0.01893939393939394,-0.003787878787878788,0.9810606060606061
without_f_globe_dynamic,pre_outage,near->core,264,293.0,293.0,1.0,8.0,0.022727272727272728,0.0,0.9810606060606061
without_f_globe_dynamic,pre_outage,near->outer,264,96.0,95.0,0.9895833333333334,3.0,0.011363636363636364,-0.003787878787878788,0.9886363636363636
without_f_globe_dynamic,pre_outage,outer->core,264,46.0,45.0,0.9782608695652174,1.0,0.003787878787878788,-0.003787878787878788,0.9962121212121212
without_f_globe_dynamic,pre_outage,outer->near,264,111.0,110.0,0.990990990990991,5.0,0.011363636363636364,-0.003787878787878788,0.9924242424242424
without_f_globe_dynamic,degraded_period,overall,1008,561.0,539.0,0.9607843137254902,162.0,0.13690476190476192,-0.021825396825396824,0.8740079365079365
without_f_globe_dynamic,degraded_period,core->near,168,192.0,186.0,0.96875,62.0,0.27380952380952384,-0.03571428571428571,0.7678571428571429
without_f_globe_dynamic,degraded_period,core->outer,168,33.0,33.0,1.0,10.0,0.05952380952380952,0.0,0.9404761904761905
without_f_globe_dynamic,degraded_period,near->core,168,184.0,178.0,0.967391304347826,42.0,0.21428571428571427,-0.03571428571428571,0.8035714285714286
without_f_globe_dynamic,degraded_period,near->outer,168,57.0,52.0,0.9122807017543859,13.0,0.07738095238095238,-0.02976190476190476,0.9226190476190477
without_f_globe_dynamic,degraded_period,outer->core,168,32.0,30.0,0.9375,14.0,0.08333333333333333,-0.011904761904761904,0.9166666666666666
without_f_globe_dynamic,degraded_period,outer->near,168,63.0,60.0,0.9523809523809523,21.0,0.1130952380952381,-0.017857142857142856,0.8928571428571429
without_f_globe_dynamic,post_recovery,overall,864,468.0,463.0,0.9893162393162394,21.0,0.024305555555555556,-0.005787037037037037,0.9756944444444444
without_f_globe_dynamic,post_recovery,core->near,144,153.0,153.0,1.0,4.0,0.027777777777777776,0.0,0.9722222222222222
without_f_globe_dynamic,post_recovery,core->outer,144,35.0,36.0,1.0285714285714285,1.0,0.006944444444444444,0.006944444444444444,0.9930555555555556
without_f_globe_dynamic,post_recovery,near->core,144,156.0,153.0,0.9807692307692307,5.0,0.034722222222222224,-0.020833333333333332,0.9652777777777778
without_f_globe_dynamic,post_recovery,near->outer,144,44.0,41.0,0.9318181818181818,5.0,0.034722222222222224,-0.020833333333333332,0.9652777777777778
without_f_globe_dynamic,post_recovery,outer->core,144,29.0,31.0,1.0689655172413792,2.0,0.013888888888888888,0.013888888888888888,0.9861111111111112
without_f_globe_dynamic,post_recovery,outer->near,144,51.0,49.0,0.9607843137254902,4.0,0.027777777777777776,-0.013888888888888888,0.9722222222222222
china_coastal_only,all,overall,3456,1910.0,1189.0,0.6225130890052356,1807.0,0.2126736111111111,-0.20862268518518517,0.8758680555555556
china_coastal_only,all,core->near,576,624.0,391.0,0.6266025641025641,737.0,0.4184027777777778,-0.4045138888888889,0.8072916666666666
