group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,near,core,near->core,13,6,3,0.5,0.5,0.5477225575051661,0.5,0.019774815827447407,0.015151515151515152,0.024049707602339182,0.020833333333333332
normal_post_recovery,near,core,near->core,14,6,4,0.8333333333333334,1.0,0.752772652709081,0.3333333333333333,0.03780600491126807,0.03300865800865801,0.03692131666960042,0.04096989966555184
normal_post_recovery,near,core,near->core,15,6,5,2.3333333333333335,2.5,1.3662601021279464,0.16666666666666666,0.08450641098667415,0.09950657894736842,0.08949492562395789,0.09600614439324116
normal_post_recovery,near,core,near->core,16,6,5,1.5,1.0,1.378404875209022,0.16666666666666666,0.05295517713280871,0.044172932330827065,0.06052043250500474,0.04673913043478261
normal_post_recovery,near,core,near->core,17,6,5,1.0,1.0,0.6324555320336759,0.16666666666666666,0.03829099141599142,0.033482142857142856,0.03755360649594984,0.039351851851851846
normal_post_recovery,near,core,near->core,18,6,5,1.8333333333333333,1.5,1.4719601443879746,0.16666666666666666,0.07648543586043587,0.05631868131868132,0.07012591107043879,0.05721003134796238
normal_post_recovery,near,core,near->core,19,6,5,1.0,1.0,0.6324555320336759,0.16666666666666666,0.044861419039050617,0.03708791208791209,0.03953194953194953,0.039230769230769236
normal_post_recovery,near,core,near->core,20,6,4,2.6666666666666665,1.5,3.4448028487370173,0.3333333333333333,0.08893999518999518,0.059027777777777776,0.09380194518125552,0.05448275862068966
normal_post_recovery,near,core,near->core,21,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.01636904761904762,0.0,0.019047619047619046,0.0
normal_post_recovery,near,core,near->core,22,6,3,1.0,0.5,1.5491933384829668,0.5,0.036502849002849,0.019230769230769232,0.03684413580246913,0.015625
normal_post_recovery,near,core,near->core,23,6,4,1.3333333333333333,1.0,1.8618986725025257,0.3333333333333333,0.06427962266778055,0.033482142857142856,0.0547979797979798,0.041666666666666664
normal_post_recovery,near,outer,near->outer,0,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.05113636363636364,0.0,0.0373015873015873,0.0
normal_post_recovery,near,outer,near->outer,1,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.015151515151515152,0.0,0.005747126436781609,0.0
normal_post_recovery,near,outer,near->outer,2,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,3,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.05555555555555555,0.0,0.006666666666666667,0.0
normal_post_recovery,near,outer,near->outer,4,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.03598484848484849,0.0,0.014724310776942355,0.0
