date,source_region,daily_outflow,daily_destination_1,daily_destination_2,destination_1_share,mean_present_stock,mean_linkable_stock,mean_present_outflow_rate,mean_linkable_outflow_rate,is_normal_date,day_type
2018-01-14,core,21.0,18.0,3.0,0.8571428571428571,6.333333333333333,5.958333333333333,0.1213974913974914,0.140074028535567,False,weekend
2018-01-14,near,21.0,13.0,8.0,0.6190476190476191,17.0,15.125,0.04091541261330069,0.050994993123928654,False,weekend
2018-01-14,outer,14.0,5.0,9.0,0.35714285714285715,5.583333333333333,4.833333333333333,0.08738010355657413,0.11086631622345909,False,weekend
2018-01-15,core,30.0,28.0,2.0,0.9333333333333333,8.583333333333334,8.541666666666666,0.1899827200865263,0.19035979399301198,False,weekday
2018-01-15,near,31.0,28.0,3.0,0.9032258064516129,16.916666666666668,15.833333333333334,0.05214113168842326,0.06532769925218437,False,weekday
2018-01-15,outer,11.0,4.0,7.0,0.36363636363636365,3.5416666666666665,3.4166666666666665,0.13038847117794483,0.1476890756302521,False,weekday
2018-01-16,core,28.0,23.0,5.0,0.8214285714285714,14.375,14.375,0.07944034451387393,0.07944034451387393,False,weekday
2018-01-16,near,35.0,20.0,15.0,0.5714285714285714,24.25,23.5,0.055118474688221064,0.05620474605430716,False,weekday
2018-01-16,outer,18.0,7.0,11.0,0.3888888888888889,4.916666666666667,4.583333333333333,0.1253968253968254,0.13432539682539682,False,weekday
2018-01-17,core,40.0,38.0,2.0,0.95,12.958333333333334,12.625,0.12201363451363452,0.12492334054834055,False,weekday
2018-01-17,near,39.0,33.0,6.0,0.8461538461538461,17.416666666666668,15.541666666666666,0.10266945947219201,0.11781013176137013,False,weekday
2018-01-17,outer,9.0,3.0,6.0,0.3333333333333333,4.125,3.7916666666666665,0.07777777777777778,0.08680555555555557,False,weekday
2018-01-18,core,36.0,32.0,4.0,0.8888888888888888,13.0,12.541666666666666,0.11369239420710009,0.1191156066156066,False,weekday
2018-01-18,near,40.0,31.0,9.0,0.775,16.333333333333332,13.875,0.09560121322892219,0.11462259146082676,False,weekday
2018-01-18,outer,14.0,5.0,9.0,0.35714285714285715,5.041666666666667,4.5,0.10639880952380952,0.11200396825396826,False,weekday
2018-01-19,core,24.0,20.0,4.0,0.8333333333333334,10.708333333333334,10.083333333333334,0.07956107901760076,0.09149524087024088,True,weekday
2018-01-19,near,27.0,19.0,8.0,0.7037037037037037,16.666666666666668,15.5,0.054042887466800506,0.07038703372114206,True,weekday
2018-01-19,outer,10.0,3.0,7.0,0.3,4.875,4.5,0.08035714285714285,0.08035714285714285,True,weekday
2018-01-20,core,37.0,30.0,7.0,0.8108108108108109,12.916666666666666,12.875,0.12042511886261886,0.12105643199393201,True,weekend
2018-01-20,near,33.0,26.0,7.0,0.7878787878787878,27.333333333333332,27.083333333333332,0.048718487795537634,0.04914420086492886,True,weekend
2018-01-20,outer,23.0,5.0,18.0,0.21739130434782608,5.666666666666667,5.541666666666667,0.14201388888888888,0.1463128306878307,True,weekend
2018-01-21,core,29.0,22.0,7.0,0.7586206896551724,11.458333333333334,11.458333333333334,0.10112098549598551,0.10112098549598551,True,weekend
2018-01-21,near,43.0,32.0,11.0,0.7441860465116279,27.958333333333332,27.5,0.06270153245009567,0.06370505744787354,True,weekend
2018-01-21,outer,17.0,5.0,12.0,0.29411764705882354,4.666666666666667,4.333333333333333,0.12400793650793651,0.13194444444444445,True,weekend
2018-01-22,core,24.0,18.0,6.0,0.75,13.416666666666666,13.333333333333334,0.07516580641580642,0.07612179487179487,True,weekday
2018-01-22,near,21.0,18.0,3.0,0.8571428571428571,25.875,25.583333333333332,0.03210777967243484,0.03254021760487278,True,weekday
2018-01-22,outer,7.0,5.0,2.0,0.7142857142857143,3.875,3.75,0.06041666666666667,0.06041666666666667,True,weekday
2018-01-23,core,38.0,29.0,9.0,0.7631578947368421,11.583333333333334,11.541666666666666,0.1378794238169238,0.1378794238169238,True,weekday
2018-01-23,near,35.0,28.0,7.0,0.8,24.0,23.583333333333332,0.057870522861464886,0.05874622257774431,True,weekday
2018-01-23,outer,14.0,8.0,6.0,0.5714285714285714,5.25,5.0,0.10436507936507937,0.10922619047619048,True,weekday
