mmsi,cohort_dominant3,dominant_region,core_share,near_share,outer_share,mean_active_hours,night_share,morning_share,afternoon_share,presence_freq,recent7_freq,source_group,active_days,present_days
000003589,core,core,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.5,0.7777777777777778,0.2222222222222222,0.0,0.1111111111111111,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,2
000003766,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,18
000003827,near,near,0.09090909090909091,0.5454545454545454,0.36363636363636365,2.75,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.7222222222222222,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,13
000003830,outer,outer,0.18181818181818182,0.36363636363636365,0.45454545454545453,5.5,0.0,0.09090909090909091,0.9090909090909091,0.16666666666666666,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,3
000003845,near,near,0.3333333333333333,0.6666666666666666,0.0,1.5,0.6666666666666666,0.3333333333333333,0.0,0.3888888888888889,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,7
000004334,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.14285714285714285,"('f_globe_dynamic',)",0,1
000004335,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.14285714285714285,"('e_globe_daily',)",0,1
000004338,outer,outer,0.0,0.16666666666666666,0.8333333333333334,2.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,"('e_globe_daily', 'f_globe_dynamic')",3,18
000005705,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.0,"('e_globe_daily', 'f_globe_dynamic')",0,1
000005726,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",0,1
000005745,outer,outer,0.0,0.0,1.0,2.0,0.25,0.75,0.0,0.2222222222222222,0.2857142857142857,"('e_globe_daily', 'f_globe_dynamic')",2,4
000005810,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,0.14285714285714285,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,12
