evaluation_id,evaluation_type,predictor_method,rounding_method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total_scored,predicted_total_scored,constraint_adjustment_count,max_constraint_adjustment,core_to_near_sse,core_to_outer_sse,near_to_core_sse,near_to_outer_sse,outer_to_core_sse,outer_to_near_sse
fold_03,rolling_7d,pair_hour_fixed085,paired,1008,1008,855.2762207300275,919.0,0.9117063492063492,0.5307539682539683,-0.06646825396825397,536.0,469.0,0,0.0,354.0,42.0,250.0,132.0,50.0,91.0
fold_03,rolling_7d,pair_hour_hier_tau_cv,independent,1008,1008,869.551628440986,961.0,0.9533730158730159,0.5426587301587301,-0.10813492063492064,536.0,427.0,0,0.0,384.0,45.0,275.0,127.0,49.0,81.0
fold_03,rolling_7d,pair_hour_hier_tau_cv,paired,1008,1008,851.6570276672587,945.0,0.9375,0.5882936507936508,0.030753968253968252,536.0,567.0,0,0.0,352.0,44.0,260.0,140.0,49.0,100.0
fold_03,rolling_7d,pair_hour_hier_tau_scale_cv,independent,1008,1008,869.551628440986,961.0,0.9533730158730159,0.5426587301587301,-0.10813492063492064,536.0,427.0,0,0.0,384.0,45.0,275.0,127.0,49.0,81.0
fold_03,rolling_7d,pair_hour_hier_tau_scale_cv,paired,1008,1008,905.5248006291101,981.0,0.9732142857142857,0.5525793650793651,-0.1359126984126984,536.0,399.0,0,0.0,402.0,38.0,272.0,129.0,49.0,91.0
fold_03,rolling_7d,pair_hour_mean,independent,1008,1008,862.6122589531681,926.0,0.9186507936507936,0.5297619047619048,-0.05952380952380952,536.0,476.0,0,0.0,369.0,39.0,252.0,131.0,49.0,86.0
fold_03,rolling_7d,pair_hour_mean,paired,1008,1008,862.6122589531681,983.0,0.9751984126984127,0.5823412698412699,0.030753968253968252,536.0,567.0,0,0.0,374.0,50.0,263.0,133.0,50.0,113.0
fold_03,rolling_7d,pair_recent14_fixed085,independent,1008,1008,855.2762207300275,931.0,0.9236111111111112,0.4990079365079365,-0.1636904761904762,536.0,371.0,0,0.0,366.0,39.0,266.0,130.0,49.0,81.0
fold_03,rolling_7d,pair_recent14_fixed085,paired,1008,1008,855.2762207300275,919.0,0.9117063492063492,0.5307539682539683,-0.06646825396825397,536.0,469.0,0,0.0,354.0,42.0,250.0,132.0,50.0,91.0
fold_03,rolling_7d,pair_recent14_hour,independent,1008,1008,862.6122589531681,926.0,0.9186507936507936,0.5297619047619048,-0.05952380952380952,536.0,476.0,0,0.0,369.0,39.0,252.0,131.0,49.0,86.0
fold_03,rolling_7d,pair_recent14_hour,paired,1008,1008,862.6122589531681,983.0,0.9751984126984127,0.5823412698412699,0.030753968253968252,536.0,567.0,0,0.0,374.0,50.0,263.0,133.0,50.0,113.0
fold_03,rolling_7d,present_shrunk20,independent,1008,1008,852.0691651966365,935.0,0.9275793650793651,0.5426587301587301,-0.03869047619047619,536.0,497.0,0,0.0,369.0,39.0,256.0,131.0,49.0,91.0
fold_03,rolling_7d,present_shrunk20,paired,1008,1008,852.0691651966365,948.0,0.9404761904761905,0.5773809523809523,0.023809523809523808,536.0,560.0,0,0.0,351.0,44.0,266.0,133.0,57.0,97.0
fold_03,rolling_7d,present_shrunk20_direction_scale_cv,independent,1008,1008,857.8812570445472,924.0,0.9166666666666666,0.5158730158730159,-0.14285714285714285,536.0,392.0,0,0.0,368.0,39.0,252.0,127.0,49.0,89.0
fold_03,rolling_7d,present_shrunk20_direction_scale_cv,paired,1008,1008,869.0603636543024,969.0,0.9613095238095238,0.5625,-0.03869047619047619,536.0,497.0,0,0.0,374.0,42.0,256.0,134.0,50.0,113.0
fold_03,rolling_7d,present_shrunk20_scale_cv,independent,1008,1008,848.4719028396582,926.0,0.9186507936507936,0.5257936507936508,-0.0873015873015873,536.0,448.0,0,0.0,374.0,39.0,252.0,131.0,49.0,81.0
fold_03,rolling_7d,present_shrunk20_scale_cv,paired,1008,1008,851.3891338142787,912.0,0.9047619047619048,0.5416666666666666,-0.04563492063492063,536.0,490.0,0,0.0,346.0,39.0,249.0,132.0,50.0,96.0
fold_04,rolling_7d,pair_hour_circular_cv,independent,1008,1008,829.8080775394477,894.0,0.8869047619047619,0.5496031746031746,-0.02976190476190476,541.0,511.0,0,0.0,350.0,33.0,257.0,93.0,50.0,111.0
fold_04,rolling_7d,pair_hour_circular_cv,paired,1008,1008,829.8080775394477,935.0,0.9275793650793651,0.6001984126984127,0.03273809523809524,541.0,574.0,0,0.0,350.0,43.0,257.0,116.0,50.0,119.0
fold_04,rolling_7d,pair_hour_circular_scale_cv,independent,1008,1008,831.1135207485823,900.0,0.8928571428571429,0.5436507936507936,-0.08531746031746032,541.0,455.0,0,0.0,359.0,33.0,254.0,93.0,50.0,111.0
fold_04,rolling_7d,pair_hour_circular_scale_cv,paired,1008,1008,922.1448751582781,984.0,0.9761904761904762,0.5654761904761905,-0.14087301587301587,541.0,399.0,0,0.0,395.0,41.0,264.0,114.0,50.0,120.0
fold_04,rolling_7d,pair_hour_direction_scale_cv,independent,1008,1008,851.6227988457428,904.0,0.8968253968253969,0.5317460317460317,-0.08531746031746032,541.0,455.0,0,0.0,360.0,33.0,254.0,92.0,50.0,115.0
