date,hour,hour_of_day,dayofweek,day_type,audit_quality_regime,period,pair,y_ab,y_ba,X,r,F,T_daily,p
2018-01-06,2018-01-06 20:00:00,20,5,weekend,normal,pre_outage,core_near,0,1,1,0.0,-1,31,0.03225806451612903
2018-01-06,2018-01-06 21:00:00,21,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 22:00:00,22,5,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,31,0.06451612903225806
2018-01-06,2018-01-06 23:00:00,23,5,weekend,normal,pre_outage,core_near,0,1,1,0.0,-1,31,0.03225806451612903
2018-01-07,2018-01-07 00:00:00,0,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 01:00:00,1,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 02:00:00,2,6,weekend,normal,pre_outage,core_near,6,1,7,0.8571428571428571,5,59,0.11864406779661017
2018-01-07,2018-01-07 03:00:00,3,6,weekend,normal,pre_outage,core_near,1,6,7,0.14285714285714285,-5,59,0.11864406779661017
2018-01-07,2018-01-07 04:00:00,4,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 05:00:00,5,6,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,59,0.03389830508474576
2018-01-07,2018-01-07 06:00:00,6,6,weekend,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,59,0.05084745762711865
2018-01-07,2018-01-07 07:00:00,7,6,weekend,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,59,0.05084745762711865
2018-01-07,2018-01-07 08:00:00,8,6,weekend,normal,pre_outage,core_near,0,4,4,0.0,-4,59,0.06779661016949153
2018-01-07,2018-01-07 09:00:00,9,6,weekend,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,59,0.05084745762711865
2018-01-07,2018-01-07 10:00:00,10,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 11:00:00,11,6,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,59,0.03389830508474576
2018-01-07,2018-01-07 12:00:00,12,6,weekend,normal,pre_outage,core_near,3,1,4,0.75,2,59,0.06779661016949153
2018-01-07,2018-01-07 13:00:00,13,6,weekend,normal,pre_outage,core_near,0,4,4,0.0,-4,59,0.06779661016949153
2018-01-07,2018-01-07 14:00:00,14,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 15:00:00,15,6,weekend,normal,pre_outage,core_near,1,0,1,1.0,1,59,0.01694915254237288
2018-01-07,2018-01-07 16:00:00,16,6,weekend,normal,pre_outage,core_near,3,1,4,0.75,2,59,0.06779661016949153
2018-01-07,2018-01-07 17:00:00,17,6,weekend,normal,pre_outage,core_near,1,1,2,0.5,0,59,0.03389830508474576
2018-01-07,2018-01-07 18:00:00,18,6,weekend,normal,pre_outage,core_near,0,0,0,,0,59,0.0
2018-01-07,2018-01-07 19:00:00,19,6,weekend,normal,pre_outage,core_near,0,2,2,0.0,-2,59,0.03389830508474576
2018-01-07,2018-01-07 20:00:00,20,6,weekend,normal,pre_outage,core_near,0,3,3,0.0,-3,59,0.05084745762711865
2018-01-07,2018-01-07 21:00:00,21,6,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,59,0.03389830508474576
2018-01-07,2018-01-07 22:00:00,22,6,weekend,normal,pre_outage,core_near,4,0,4,1.0,4,59,0.06779661016949153
2018-01-07,2018-01-07 23:00:00,23,6,weekend,normal,pre_outage,core_near,0,2,2,0.0,-2,59,0.03389830508474576
2018-01-08,2018-01-08 00:00:00,0,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 01:00:00,1,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 02:00:00,2,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 03:00:00,3,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 04:00:00,4,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 05:00:00,5,0,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,37,0.02702702702702703
2018-01-08,2018-01-08 06:00:00,6,0,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,37,0.05405405405405406
2018-01-08,2018-01-08 07:00:00,7,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 08:00:00,8,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 09:00:00,9,0,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,37,0.05405405405405406
2018-01-08,2018-01-08 10:00:00,10,0,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,37,0.10810810810810811
2018-01-08,2018-01-08 11:00:00,11,0,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,37,0.08108108108108109
2018-01-08,2018-01-08 12:00:00,12,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 13:00:00,13,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 14:00:00,14,0,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,37,0.05405405405405406
2018-01-08,2018-01-08 15:00:00,15,0,weekday,normal,pre_outage,core_near,4,1,5,0.8,3,37,0.13513513513513514
2018-01-08,2018-01-08 16:00:00,16,0,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,37,0.05405405405405406
2018-01-08,2018-01-08 17:00:00,17,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 18:00:00,18,0,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,37,0.05405405405405406
2018-01-08,2018-01-08 19:00:00,19,0,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,37,0.10810810810810811
2018-01-08,2018-01-08 20:00:00,20,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,37,0.02702702702702703
2018-01-08,2018-01-08 21:00:00,21,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 22:00:00,22,0,weekday,normal,pre_outage,core_near,0,0,0,,0,37,0.0
2018-01-08,2018-01-08 23:00:00,23,0,weekday,normal,pre_outage,core_near,4,0,4,1.0,4,37,0.10810810810810811
2018-01-09,2018-01-09 00:00:00,0,1,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,51,0.0784313725490196
2018-01-09,2018-01-09 01:00:00,1,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 02:00:00,2,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 03:00:00,3,1,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,51,0.0392156862745098
2018-01-09,2018-01-09 04:00:00,4,1,weekday,normal,pre_outage,core_near,5,1,6,0.8333333333333334,4,51,0.11764705882352941
2018-01-09,2018-01-09 05:00:00,5,1,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,51,0.0784313725490196
2018-01-09,2018-01-09 06:00:00,6,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 07:00:00,7,1,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,51,0.0392156862745098
2018-01-09,2018-01-09 08:00:00,8,1,weekday,normal,pre_outage,core_near,0,5,5,0.0,-5,51,0.09803921568627451
2018-01-09,2018-01-09 09:00:00,9,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 10:00:00,10,1,weekday,normal,pre_outage,core_near,3,1,4,0.75,2,51,0.0784313725490196
2018-01-09,2018-01-09 11:00:00,11,1,weekday,normal,pre_outage,core_near,1,3,4,0.25,-2,51,0.0784313725490196
2018-01-09,2018-01-09 12:00:00,12,1,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,51,0.0392156862745098
2018-01-09,2018-01-09 13:00:00,13,1,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,51,0.0196078431372549
2018-01-09,2018-01-09 14:00:00,14,1,weekday,normal,pre_outage,core_near,4,0,4,1.0,4,51,0.0784313725490196
2018-01-09,2018-01-09 15:00:00,15,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
