date,hour,region,quality,N_ge1,N_ge2,N_ge3,N_ge4,N_ge5,N_ge6,N_eq1,N_eq2,N_eq3,N_eq4,active_rows,active_mmsi
2018-01-03,13,near,normal,6,6,5,5,5,5,0,1,0,0,340,6
2018-01-03,13,outer,normal,6,5,4,4,4,4,1,1,0,0,490,6
2018-01-03,14,core,normal,6,6,6,6,6,6,0,0,0,0,476,6
2018-01-03,14,near,normal,10,10,10,9,9,9,0,0,1,0,822,10
2018-01-03,14,outer,normal,4,4,4,4,4,4,0,0,0,0,365,4
2018-01-03,15,core,normal,9,9,9,9,9,9,0,0,0,0,534,9
2018-01-03,15,near,normal,11,11,11,10,10,10,0,0,1,0,676,11
2018-01-03,15,outer,normal,2,1,1,1,1,1,1,0,0,0,12,2
2018-01-03,16,core,normal,11,11,11,11,11,11,0,0,0,0,887,11
2018-01-03,16,near,normal,3,3,3,3,3,3,0,0,0,0,154,3
2018-01-03,16,outer,normal,1,1,1,1,1,1,0,0,0,0,117,1
2018-01-03,17,core,normal,8,8,8,7,7,7,0,0,1,0,488,8
2018-01-03,17,near,normal,4,4,3,3,3,3,0,1,0,0,143,4
2018-01-03,17,outer,normal,1,1,1,1,1,1,0,0,0,0,83,1
2018-01-03,18,core,normal,9,8,8,8,8,8,1,0,0,0,760,9
2018-01-03,18,near,normal,6,6,6,6,6,5,0,0,0,0,396,6
2018-01-03,18,outer,normal,1,1,1,1,1,1,0,0,0,0,170,1
2018-01-03,19,core,normal,15,15,15,15,15,14,0,0,0,0,908,15
2018-01-03,19,near,normal,13,13,13,13,13,13,0,0,0,0,1187,13
2018-01-03,19,outer,normal,2,1,1,1,1,1,1,0,0,0,48,2
2018-01-03,20,core,normal,7,7,7,7,7,7,0,0,0,0,257,7
2018-01-03,20,near,normal,5,5,5,5,5,5,0,0,0,0,206,5
2018-01-03,20,outer,normal,3,3,3,3,3,3,0,0,0,0,268,3
2018-01-03,21,core,normal,3,3,3,3,3,3,0,0,0,0,216,3
2018-01-03,21,near,normal,3,3,3,3,3,3,0,0,0,0,162,3
2018-01-03,21,outer,normal,3,3,3,3,3,3,0,0,0,0,506,3
2018-01-03,22,core,normal,14,14,14,14,14,14,0,0,0,0,1278,14
2018-01-03,22,near,normal,7,7,7,7,7,7,0,0,0,0,359,7
2018-01-03,22,outer,normal,1,1,1,1,1,1,0,0,0,0,28,1
2018-01-03,23,core,normal,12,12,11,11,11,11,0,1,0,0,715,12
2018-01-03,23,near,normal,9,9,9,9,9,9,0,0,0,0,639,9
2018-01-03,23,outer,normal,3,3,3,3,3,3,0,0,0,0,274,3
2018-01-04,0,core,normal,5,5,5,5,5,5,0,0,0,0,306,5
2018-01-04,0,near,normal,4,3,3,3,3,3,1,0,0,0,143,4
2018-01-04,0,outer,normal,4,4,4,4,4,4,0,0,0,0,728,4
2018-01-04,1,core,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,1,near,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,1,outer,normal,3,3,2,2,2,2,0,1,0,0,205,3
2018-01-04,2,core,normal,2,1,1,1,1,1,1,0,0,0,8,2
2018-01-04,2,near,normal,1,1,0,0,0,0,0,1,0,0,2,1
2018-01-04,2,outer,normal,2,2,2,2,2,2,0,0,0,0,239,2
2018-01-04,3,core,normal,7,7,7,6,6,6,0,0,1,0,204,7
2018-01-04,3,near,normal,6,6,6,6,6,6,0,0,0,0,359,6
2018-01-04,3,outer,normal,4,4,4,4,4,4,0,0,0,0,421,4
2018-01-04,4,core,normal,9,9,9,9,9,9,0,0,0,0,1177,9
