date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-02,18,core,18,10,10,10,10,10,1217,89.0,1171,46,0,2,1.0
2018-01-02,18,near,30,4,4,4,4,4,467,112.0,448,19,0,2,1.0
2018-01-02,18,outer,6,3,3,3,3,3,306,111.0,295,11,0,2,1.0
2018-01-02,19,core,19,16,16,16,16,16,1591,60.5,1507,84,0,2,1.0
2018-01-02,19,near,31,7,7,7,7,7,575,65.0,548,27,0,2,1.0
2018-01-02,19,outer,5,1,1,1,1,1,328,328.0,316,12,0,2,1.0
2018-01-02,20,core,17,8,8,8,8,8,614,55.0,583,31,0,2,1.0
2018-01-02,20,near,29,4,4,3,3,3,64,12.5,58,6,0,2,0.75
2018-01-02,20,outer,6,2,2,2,2,2,228,114.0,221,7,0,2,1.0
2018-01-02,21,core,20,4,4,4,4,4,445,102.0,424,21,0,2,1.0
2018-01-02,21,near,28,4,4,4,4,4,277,70.5,265,12,0,2,1.0
2018-01-02,21,outer,6,2,2,2,2,2,61,30.5,60,1,0,2,1.0
2018-01-02,22,core,21,8,8,8,8,8,804,57.0,769,35,0,2,1.0
2018-01-02,22,near,26,5,4,4,4,4,197,32.0,184,13,0,2,0.8
2018-01-02,22,outer,4,1,0,0,0,0,1,1.0,1,0,0,1,0.0
2018-01-02,23,core,20,7,6,6,6,6,301,40.0,289,12,0,2,0.8571428571428571
2018-01-02,23,near,24,4,4,3,3,3,317,68.5,299,18,0,2,0.75
2018-01-02,23,outer,3,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-03,0,core,18,1,1,1,1,1,63,63.0,61,2,0,2,1.0
2018-01-03,0,near,25,2,2,2,2,2,81,40.5,76,5,0,2,1.0
2018-01-03,0,outer,5,2,2,2,2,2,510,255.0,486,24,0,2,1.0
2018-01-03,1,core,19,4,4,4,4,4,862,208.5,829,33,0,2,1.0
2018-01-03,1,near,24,1,1,1,1,1,5,5.0,5,0,0,1,1.0
