date,hour,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,y_true,daily_total,profile_share
2018-01-01,14,near,normal,pre_outage,weekday,0,49,6,108,0.05555555555555555
2018-01-01,15,near,normal,pre_outage,weekday,0,49,8,108,0.07407407407407407
2018-01-01,16,near,normal,pre_outage,weekday,0,49,3,108,0.027777777777777776
2018-01-01,17,near,normal,pre_outage,weekday,0,49,2,108,0.018518518518518517
2018-01-01,18,near,normal,pre_outage,weekday,0,49,7,108,0.06481481481481481
2018-01-01,19,near,normal,pre_outage,weekday,0,49,12,108,0.1111111111111111
2018-01-01,20,near,normal,pre_outage,weekday,0,49,4,108,0.037037037037037035
2018-01-01,21,near,normal,pre_outage,weekday,0,49,5,108,0.046296296296296294
2018-01-01,22,near,normal,pre_outage,weekday,0,49,3,108,0.027777777777777776
2018-01-01,23,near,normal,pre_outage,weekday,0,49,4,108,0.037037037037037035
2018-01-01,0,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,1,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,2,outer,normal,pre_outage,weekday,0,49,0,45,0.0
2018-01-01,3,outer,normal,pre_outage,weekday,0,49,0,45,0.0
2018-01-01,4,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,5,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,6,outer,normal,pre_outage,weekday,0,49,0,45,0.0
2018-01-01,7,outer,normal,pre_outage,weekday,0,49,0,45,0.0
2018-01-01,8,outer,normal,pre_outage,weekday,0,49,3,45,0.06666666666666667
2018-01-01,9,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,10,outer,normal,pre_outage,weekday,0,49,3,45,0.06666666666666667
2018-01-01,11,outer,normal,pre_outage,weekday,0,49,3,45,0.06666666666666667
2018-01-01,12,outer,normal,pre_outage,weekday,0,49,6,45,0.13333333333333333
2018-01-01,13,outer,normal,pre_outage,weekday,0,49,4,45,0.08888888888888889
2018-01-01,14,outer,normal,pre_outage,weekday,0,49,2,45,0.044444444444444446
2018-01-01,15,outer,normal,pre_outage,weekday,0,49,5,45,0.1111111111111111
2018-01-01,16,outer,normal,pre_outage,weekday,0,49,4,45,0.08888888888888889
2018-01-01,17,outer,normal,pre_outage,weekday,0,49,0,45,0.0
2018-01-01,18,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,19,outer,normal,pre_outage,weekday,0,49,3,45,0.06666666666666667
2018-01-01,20,outer,normal,pre_outage,weekday,0,49,2,45,0.044444444444444446
2018-01-01,21,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,22,outer,normal,pre_outage,weekday,0,49,1,45,0.022222222222222223
2018-01-01,23,outer,normal,pre_outage,weekday,0,49,2,45,0.044444444444444446
2018-01-02,0,core,normal,pre_outage,weekday,1,53,8,191,0.041884816753926704
2018-01-02,1,core,normal,pre_outage,weekday,1,53,0,191,0.0
2018-01-02,2,core,normal,pre_outage,weekday,1,53,1,191,0.005235602094240838
2018-01-02,3,core,normal,pre_outage,weekday,1,53,13,191,0.06806282722513089
2018-01-02,4,core,normal,pre_outage,weekday,1,53,8,191,0.041884816753926704
2018-01-02,5,core,normal,pre_outage,weekday,1,53,6,191,0.031413612565445025
2018-01-02,6,core,normal,pre_outage,weekday,1,53,13,191,0.06806282722513089
2018-01-02,7,core,normal,pre_outage,weekday,1,53,12,191,0.06282722513089005
2018-01-02,8,core,normal,pre_outage,weekday,1,53,5,191,0.02617801047120419
2018-01-02,9,core,normal,pre_outage,weekday,1,53,4,191,0.020942408376963352
2018-01-02,10,core,normal,pre_outage,weekday,1,53,6,191,0.031413612565445025
2018-01-02,11,core,normal,pre_outage,weekday,1,53,9,191,0.04712041884816754
2018-01-02,12,core,normal,pre_outage,weekday,1,53,6,191,0.031413612565445025
2018-01-02,13,core,normal,pre_outage,weekday,1,53,8,191,0.041884816753926704
2018-01-02,14,core,normal,pre_outage,weekday,1,53,10,191,0.05235602094240838
2018-01-02,15,core,normal,pre_outage,weekday,1,53,13,191,0.06806282722513089
2018-01-02,16,core,normal,pre_outage,weekday,1,53,12,191,0.06282722513089005
2018-01-02,17,core,normal,pre_outage,weekday,1,53,5,191,0.02617801047120419
2018-01-02,18,core,normal,pre_outage,weekday,1,53,10,191,0.05235602094240838
2018-01-02,19,core,normal,pre_outage,weekday,1,53,16,191,0.08376963350785341
2018-01-02,20,core,normal,pre_outage,weekday,1,53,8,191,0.041884816753926704
2018-01-02,21,core,normal,pre_outage,weekday,1,53,4,191,0.020942408376963352
2018-01-02,22,core,normal,pre_outage,weekday,1,53,8,191,0.041884816753926704
2018-01-02,23,core,normal,pre_outage,weekday,1,53,6,191,0.031413612565445025
2018-01-02,0,near,normal,pre_outage,weekday,1,53,1,117,0.008547008547008548
2018-01-02,1,near,normal,pre_outage,weekday,1,53,0,117,0.0
2018-01-02,2,near,normal,pre_outage,weekday,1,53,3,117,0.02564102564102564
2018-01-02,3,near,normal,pre_outage,weekday,1,53,6,117,0.05128205128205128
2018-01-02,4,near,normal,pre_outage,weekday,1,53,2,117,0.017094017094017096
2018-01-02,5,near,normal,pre_outage,weekday,1,53,1,117,0.008547008547008548
2018-01-02,6,near,normal,pre_outage,weekday,1,53,7,117,0.05982905982905983
2018-01-02,7,near,normal,pre_outage,weekday,1,53,12,117,0.10256410256410256
