date,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,daily_total,mean_hourly_count,std_hourly_count,cv_hourly_count,zero_hour_count,peak_hour,peak_value,trough_hour,trough_value,normalized_profile_entropy
2018-01-11,outer,normal,pre_outage,weekday,3,54,56,2.3333333333333335,1.7610932046210157,0.7547542305518639,4,13,7.0,0,0.0,0.8983814642313268
2018-01-12,core,reduced,degraded_period,weekday,4,57,131,5.458333333333333,4.128155358833612,0.7563032718473793,3,3,14.0,1,0.0,0.9007332553340236
2018-01-12,near,reduced,degraded_period,weekday,4,57,64,2.6666666666666665,1.9261736493723074,0.7223151185146153,5,0,6.0,1,0.0,0.8938091967282161
2018-01-12,outer,reduced,degraded_period,weekday,4,57,36,1.5,1.4446302370292303,0.9630868246861536,9,9,5.0,0,0.0,0.8238182884878676
2018-01-13,core,outage,degraded_period,weekend,5,55,75,3.125,2.938685006123894,0.940379201959646,5,11,10.0,0,0.0,0.8568354945711513
2018-01-13,near,outage,degraded_period,weekend,5,55,58,2.4166666666666665,2.263446134944921,0.936598400666864,5,15,9.0,1,0.0,0.8637974805117056
2018-01-13,outer,outage,degraded_period,weekend,5,55,40,1.6666666666666667,1.4039282363260677,0.8423569417956406,7,7,4.0,1,0.0,0.8607353591333169
2018-01-14,core,outage,degraded_period,weekend,6,53,46,1.9166666666666667,2.857738033247041,1.490993756476717,13,12,9.0,0,0.0,0.6833710198319702
2018-01-14,near,outage,degraded_period,weekend,6,53,35,1.4583333333333333,1.8172881532338394,1.2461404479317757,12,7,6.0,0,0.0,0.7439595982791777
2018-01-14,outer,outage,degraded_period,weekend,6,53,30,1.25,1.7507762253652943,1.4006209802922354,12,0,5.0,4,0.0,0.7132965204042763
2018-01-15,core,outage,degraded_period,weekday,0,47,62,2.5833333333333335,3.335144435522561,1.291023652460346,10,10,11.0,0,0.0,0.7450378803306171
2018-01-15,near,outage,degraded_period,weekday,0,47,36,1.5,1.7693034738587656,1.179535649239177,11,15,5.0,0,0.0,0.7642321779624726
2018-01-15,outer,outage,degraded_period,weekday,0,47,17,0.7083333333333334,0.9078961186825509,1.2817356969636013,12,9,3.0,0,0.0,0.7438266402885747
2018-01-16,core,outage,degraded_period,weekday,1,53,78,3.25,3.5661451603023435,1.0972754339391826,7,15,14.0,4,0.0,0.8158886633219253
2018-01-16,near,outage,degraded_period,weekday,1,53,55,2.2916666666666665,2.5104852582487034,1.095484476326707,8,8,8.0,0,0.0,0.8087136003421146
2018-01-16,outer,outage,degraded_period,weekday,1,53,26,1.0833333333333333,1.442120017518492,1.3311877084786081,12,9,5.0,0,0.0,0.7305824133634695
2018-01-17,core,severe,degraded_period,weekday,2,48,60,2.5,2.265046309153236,0.9060185236612943,5,10,9.0,5,0.0,0.8656395943777082
2018-01-17,near,severe,degraded_period,weekday,2,48,38,1.5833333333333333,1.767254482466264,1.1161607257681667,8,10,6.0,0,0.0,0.8075150102991234
2018-01-17,outer,severe,degraded_period,weekday,2,48,22,0.9166666666666666,0.880546602310508,0.9605962934296451,8,5,3.0,3,0.0,0.8386875434679372
2018-01-18,core,severe,degraded_period,weekday,3,46,84,3.5,3.1622776601683795,0.9035079029052513,3,19,12.0,13,0.0,0.8759841172734043
2018-01-18,near,severe,degraded_period,weekday,3,46,52,2.1666666666666665,2.2586388102931196,1.0424486816737475,6,19,8.0,1,0.0,0.8346555277455568
2018-01-18,outer,severe,degraded_period,weekday,3,46,35,1.4583333333333333,1.5030162910010298,1.0306397424007063,7,9,5.0,0,0.0,0.8322282562431359
2018-01-19,core,normal,post_recovery,weekday,4,52,130,5.416666666666667,4.4224394868095995,0.8164503667956183,5,11,13.0,1,0.0,0.8752147678429443
2018-01-19,near,normal,post_recovery,weekday,4,52,76,3.1666666666666665,2.7133593275826393,0.8568503139734651,6,19,8.0,1,0.0,0.8649113503542143
2018-01-19,outer,normal,post_recovery,weekday,4,52,41,1.7083333333333333,1.458980187804412,0.8540371831050216,6,21,5.0,2,0.0,0.8672594892787876
2018-01-20,core,normal,post_recovery,weekend,5,55,203,8.458333333333334,5.021511695709264,0.5936762595912429,0,15,16.0,1,1.0,0.9378501640724787
2018-01-20,near,normal,post_recovery,weekend,5,55,132,5.5,3.362193900727166,0.6113079819503938,1,11,13.0,21,0.0,0.9345705566605584
2018-01-20,outer,normal,post_recovery,weekend,5,55,65,2.7083333333333335,1.8052861188782494,0.6665671823550459,1,7,6.0,2,0.0,0.9260902717626883
2018-01-21,core,normal,post_recovery,weekend,6,54,209,8.708333333333334,4.216728246099015,0.48421759763816435,0,3,15.0,15,3.0,0.9639581962046897
2018-01-21,near,normal,post_recovery,weekend,6,54,136,5.666666666666667,3.3188089359924273,0.5856721651751342,0,18,14.0,2,2.0,0.9486041893753893
2018-01-21,outer,normal,post_recovery,weekend,6,54,62,2.5833333333333335,1.9763089590064795,0.7650228228412178,2,16,9.0,7,0.0,0.9149880343486607
2018-01-22,core,normal,post_recovery,weekday,0,52,138,5.75,3.959029305710967,0.6885268357758203,1,7,13.0,5,0.0,0.9212291513134987
2018-01-22,near,normal,post_recovery,weekday,0,52,91,3.7916666666666665,2.686183111804727,0.7084438976188291,3,12,10.0,1,0.0,0.9098830512020588
2018-01-22,outer,normal,post_recovery,weekday,0,52,32,1.3333333333333333,1.0072203103706698,0.7554152327780024,5,15,4.0,0,0.0,0.8945350730594398
2018-01-23,core,normal,post_recovery,weekday,1,48,158,6.583333333333333,3.821184276551226,0.580433054666009,2,20,13.0,5,0.0,0.9352073968598342
2018-01-23,near,normal,post_recovery,weekday,1,48,113,4.708333333333333,3.861506426779317,0.820142957900032,4,15,13.0,1,0.0,0.8838966046493913
2018-01-23,outer,normal,post_recovery,weekday,1,48,54,2.25,1.6484511834894675,0.7326449704397633,5,12,5.0,2,0.0,0.8921661970907794
2018-01-24,core,normal,post_recovery,weekday,2,48,199,8.291666666666666,4.059119273359963,0.48954202291778454,1,15,16.0,6,0.0,0.9583215040048054
2018-01-24,near,normal,post_recovery,weekday,2,48,124,5.166666666666667,3.4599153880916833,0.6696610428564548,1,15,13.0,3,0.0,0.9309049862293636
2018-01-24,outer,normal,post_recovery,weekday,2,48,43,1.7916666666666667,1.5030162910010298,0.8388928135819701,6,11,6.0,0,0.0,0.8739887079872476
