group,region,hour,n_days,mean_profile_share,median_profile_share,std_profile_share,q25_profile_share,q75_profile_share,mean_hourly_count,median_hourly_count
normal_pre_outage,near,4,11,0.021900729959510506,0.018518518518518517,0.024152124511060594,0.0045045045045045045,0.021111111111111112,2.3636363636363638,2.0
normal_pre_outage,near,5,11,0.0172309871663187,0.009009009009009009,0.01910973796645386,0.008305762338020403,0.019327731092436976,1.8181818181818181,1.0
normal_pre_outage,near,6,11,0.032119179388269,0.03,0.01779864997321989,0.0256102877070619,0.04144083107497741,3.4545454545454546,3.0
normal_pre_outage,near,7,11,0.05967354736544828,0.058823529411764705,0.03096645891055257,0.04641577060931899,0.0681461277791553,6.363636363636363,6.0
normal_pre_outage,near,8,11,0.054371722644101624,0.056451612903225805,0.024581736067711055,0.04380952380952381,0.0681461277791553,5.818181818181818,6.0
normal_pre_outage,near,9,11,0.03706335995889056,0.04,0.01948094235201532,0.030555555555555555,0.04674530362603757,4.0,4.0
normal_pre_outage,near,10,11,0.05965096016500768,0.05714285714285714,0.019035345641883545,0.05191317968225554,0.0691880341880342,6.2727272727272725,6.0
normal_pre_outage,near,11,11,0.07670107973071107,0.06837606837606838,0.028625213636200617,0.0638211382113821,0.09128440366972478,8.090909090909092,8.0
normal_pre_outage,near,12,11,0.046206524666281806,0.03418803418803419,0.025842904850422593,0.025858242083456644,0.07042042042042042,4.818181818181818,4.0
normal_pre_outage,near,13,11,0.040766625194640145,0.0392156862745098,0.01869635529836771,0.027195121951219512,0.05071355759429154,4.363636363636363,4.0
normal_pre_outage,near,14,11,0.04887675157648866,0.05405405405405406,0.02304370802948487,0.04208935894668681,0.057777777777777775,5.2727272727272725,6.0
normal_pre_outage,near,15,11,0.06804800039513952,0.06837606837606838,0.02511948650960331,0.059309309309309305,0.07921568627450981,7.090909090909091,8.0
normal_pre_outage,near,16,11,0.04378001050291749,0.044444444444444446,0.017766661182739802,0.02817460317460317,0.05941176470588235,4.545454545454546,4.0
normal_pre_outage,near,17,11,0.02518114758839352,0.0196078431372549,0.029734603656094427,0.004761904761904762,0.024917287014061207,2.5454545454545454,2.0
normal_pre_outage,near,18,11,0.046876997297382685,0.04838709677419355,0.022076061463017903,0.035442640947228106,0.06574074074074074,5.0,5.0
normal_pre_outage,near,19,11,0.07691502884292366,0.07317073170731707,0.027827554963552867,0.06088798124196354,0.09527649769585253,8.090909090909092,7.0
normal_pre_outage,near,20,11,0.04602581708457849,0.04032258064516129,0.02794023899305494,0.02609484910369866,0.05939024390243903,4.7272727272727275,4.0
normal_pre_outage,near,21,11,0.020872021529897724,0.01834862385321101,0.015219833339873892,0.010999521759923482,0.030368353377202936,2.272727272727273,2.0
normal_pre_outage,near,22,11,0.02241806222927737,0.022222222222222223,0.01642598631515496,0.013910969793322734,0.030982905982905984,2.4545454545454546,2.0
normal_pre_outage,near,23,11,0.05290587460807583,0.05309734513274336,0.023592494516015337,0.03686714237172953,0.058571428571428566,5.454545454545454,5.0
normal_pre_outage,outer,0,11,0.03360749148823057,0.02631578947368421,0.03393318528693645,0.011111111111111112,0.041666666666666664,1.6363636363636365,1.0
normal_pre_outage,outer,1,11,0.03148865878429148,0.02631578947368421,0.021227221683433915,0.022222222222222223,0.041666666666666664,1.5454545454545454,1.0
normal_pre_outage,outer,2,11,0.01722762741799696,0.0,0.027661535792606624,0.0,0.022086466165413533,0.8181818181818182,0.0
normal_pre_outage,outer,3,11,0.026013696394435473,0.017857142857142856,0.03092345936690054,0.0,0.04714912280701754,1.1818181818181819,1.0
normal_pre_outage,outer,4,11,0.0325143734578225,0.027777777777777776,0.021963935045600107,0.022222222222222223,0.048538011695906436,1.4545454545454546,1.0
normal_pre_outage,outer,5,11,0.03463140846959436,0.02631578947368421,0.02058605860870983,0.022222222222222223,0.043055555555555555,1.5454545454545454,1.0
normal_pre_outage,outer,6,11,0.02044495103005741,0.020833333333333332,0.021970487617434344,0.0,0.025,0.9090909090909091,1.0
normal_pre_outage,outer,7,11,0.04771947599495192,0.05357142857142857,0.036792158179005635,0.020833333333333332,0.07588652482269503,2.1818181818181817,3.0
normal_pre_outage,outer,8,11,0.05169120415480998,0.05263157894736842,0.015409632889106819,0.041666666666666664,0.06666666666666667,2.4545454545454546,2.0
normal_pre_outage,outer,9,11,0.06808668188847361,0.0625,0.0341641023208745,0.044172932330827065,0.09707602339181287,3.272727272727273,3.0
