region,date_i,date_j,period_i,period_j,period_pair,day_type_i,day_type_j,same_day_type,pearson_profile,cosine_similarity,l1_distance,rmse_profile
core,2018-01-06,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekend,True,0.27048633382657267,0.8327984703794071,0.5340100866416656,0.02753410063528525
core,2018-01-06,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.3019939909865461,0.7966135608660767,0.6298472385428907,0.03159447055152417
core,2018-01-06,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.5651851580755628,0.888252565856886,0.42541908997605205,0.022858272805190778
core,2018-01-06,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,-0.17439076691983355,0.7321121412117485,0.6832133641178868,0.034821090124515036
core,2018-01-07,2018-01-08,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.25676546060900507,0.849827661945311,0.49058198502777106,0.025749578699747696
core,2018-01-07,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,-0.016766950440047102,0.7507391929996107,0.7184321171843211,0.03453085630050047
core,2018-01-07,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.39655444220187597,0.849995172880626,0.512598156367361,0.026665924197664895
core,2018-01-07,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.10128216839346979,0.7832853248912784,0.6160616061606161,0.03202563066214302
core,2018-01-07,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.05508761163429733,0.7400553869384158,0.7223153084539223,0.03625765582925982
core,2018-01-07,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekend,True,0.5394676585837058,0.903940967632697,0.369604448129542,0.020643271274540125
core,2018-01-07,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekend,True,0.34946227915445904,0.8960963481587432,0.4255057084655834,0.0207501328605192
core,2018-01-07,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.27609379227377545,0.8284896784593587,0.5673697804563065,0.02831013043588445
core,2018-01-07,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.014105205760686237,0.8123039721907248,0.5667376864268705,0.028547798312335098
core,2018-01-07,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,-0.1112729530036343,0.82238425865335,0.5546544604209164,0.027137371993777724
core,2018-01-08,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.07827132222195518,0.7210424927191535,0.729368526561978,0.03738589853181564
core,2018-01-08,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.20541680931727824,0.7697008654280872,0.6523969722455846,0.033609966708392155
core,2018-01-08,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.5160781073568953,0.855557779230386,0.5087108013937283,0.02679582893036541
core,2018-01-08,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.4747209454446817,0.8234517674093751,0.6058161350844278,0.030588818562913657
core,2018-01-08,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.5657491712141317,0.8891834304354689,0.44028595458368375,0.022729449349797242
core,2018-01-08,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.020466543577195705,0.7740069075089123,0.6029291632629245,0.03182924453155985
core,2018-01-08,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.17350017935889747,0.7636056867972864,0.6412159773771651,0.03394927472206994
core,2018-01-08,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.5733851432078415,0.8928548381744031,0.39533806730472365,0.022291005557011013
core,2018-01-08,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.19829347553372703,0.8203986607593674,0.5927809780610369,0.028414547814518874
core,2018-01-09,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.48891171760529023,0.8302558580148178,0.596126594237128,0.02971423128059034
core,2018-01-09,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.2730817856876249,0.7547905240868998,0.6981952598390955,0.035847316986180815
core,2018-01-09,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.22537113954854926,0.7151963382041224,0.750895679662803,0.03958111831527222
core,2018-01-09,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.11559534385530358,0.7343108387720889,0.7186719751670153,0.03644219067346953
core,2018-01-09,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.25564924762249774,0.79608201719838,0.6469161696270564,0.031558474598627886
core,2018-01-09,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.015861543302787388,0.6767965348106125,0.7548143736351003,0.04089535169409
core,2018-01-09,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.12093540556599298,0.7392181424270962,0.7147563724640194,0.03603195325632514
core,2018-01-09,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.3960826391191715,0.8307753165175825,0.542025194465478,0.02884399607425166
core,2018-01-10,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.5808033066570089,0.8637562664173802,0.5091406677613574,0.026475037886186995
core,2018-01-10,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.5967655304428254,0.8550185579991461,0.5278514588859416,0.028091989031465023
core,2018-01-10,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.42716488837756167,0.8346072058638448,0.5517241379310345,0.028467905993263855
core,2018-01-10,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.5202779987009937,0.8714491483182717,0.5053951493152945,0.02485979436097719
core,2018-01-10,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.3617792662568236,0.7984002465769376,0.639480259870065,0.03198826665072233
core,2018-01-10,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.2299226856092449,0.7815105567384448,0.6116979484941074,0.03262295059750655
core,2018-01-10,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.3109420309401979,0.8199466225525789,0.6127187662450182,0.029304734325122067
core,2018-01-11,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.6118929326856147,0.8587919383328237,0.567032967032967,0.02780176255680977
core,2018-01-11,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.3383882808978423,0.8051964119901471,0.5829228243021347,0.031041247416139166
core,2018-01-11,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.5083322910818201,0.8645560412199432,0.5029239766081871,0.025674874825611593
core,2018-01-11,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.46490740116916845,0.8278866668333872,0.5797101449275361,0.029685500525262847
core,2018-01-11,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.49677806260797924,0.8525084554442247,0.46393409684548925,0.026997159726501786
core,2018-01-11,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.22245748478761093,0.7931590071254194,0.6435351359974475,0.03155254995336562
core,2018-01-19,2018-01-20,post_recovery,post_recovery,post_recovery__post_recovery,weekday,weekend,False,0.24750280263142535,0.7530209659201444,0.6516104585070103,0.036003641028574056
core,2018-01-19,2018-01-21,post_recovery,post_recovery,post_recovery__post_recovery,weekday,weekend,False,0.18632537884262346,0.7556917503384929,0.6546926757453073,0.03541246725528437
core,2018-01-19,2018-01-22,post_recovery,post_recovery,post_recovery__post_recovery,weekday,weekday,True,0.4258784578420164,0.7963604852686309,0.6193979933110367,0.033183779397375886
