evaluation_id,evaluation_type,training_policy,method,selected_alpha,train_start,train_end,valid_start,valid_end,n_valid_days,n_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded
fold_01,rolling_7d,all,ridge_direct_calendar_vessel,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3570.3789069653685,3643.0,7.228174603174603,1.9781746031746033,0.878968253968254,1173.0,1616.0,2332.0,1012.0,299.0
fold_01,rolling_7d,exclude_outage_severe,decomp_ewm7_daytype_shrunk,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6039.176847987559,5954.0,11.813492063492063,2.626984126984127,2.0436507936507935,1173.0,2203.0,4002.0,1638.0,314.0
fold_01,rolling_7d,exclude_outage_severe,decomp_mean_daytype_shrunk,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6313.18081222535,6328.0,12.555555555555555,2.7103174603174605,2.1507936507936507,1173.0,2257.0,4259.0,1732.0,337.0
fold_01,rolling_7d,exclude_outage_severe,decomp_mean_mean,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6286.400756831987,6281.0,12.462301587301587,2.7003968253968256,2.1448412698412698,1173.0,2254.0,4233.0,1700.0,348.0
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_daytype,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,4007.912978972381,4068.0,8.071428571428571,2.1706349206349205,1.2896825396825398,1173.0,1823.0,2550.0,1253.0,265.0
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_mean,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3994.8678061839473,4061.0,8.057539682539682,2.1726190476190474,1.3035714285714286,1173.0,1830.0,2549.0,1238.0,274.0
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3572.114735321031,3622.0,7.186507936507937,2.0396825396825395,1.0634920634920635,1173.0,1709.0,2284.0,1068.0,270.0
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_mean,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3559.760330619114,3627.0,7.196428571428571,2.0297619047619047,1.0773809523809523,1173.0,1716.0,2324.0,1040.0,263.0
fold_01,rolling_7d,exclude_outage_severe,decomp_ridge_calendar_daytype,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3944.6674774151775,4020.0,7.976190476190476,2.130952380952381,1.1666666666666667,1173.0,1761.0,2538.0,1205.0,277.0
fold_01,rolling_7d,exclude_outage_severe,decomp_ridge_calendar_mean,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3931.3645208333405,4032.0,8.0,2.130952380952381,1.1785714285714286,1173.0,1767.0,2551.0,1196.0,285.0
fold_01,rolling_7d,exclude_outage_severe,decomp_ridge_calendar_vessel_daytype,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3355.9760332718315,3434.0,6.813492063492063,1.9642857142857142,0.8849206349206349,1173.0,1619.0,2172.0,979.0,283.0
