evaluation_id,evaluation_type,training_policy,method,alpha,n_inner_splits,inner_validation_dates,inner_sse_float,inner_mae_float,fit_failure_count,selected
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_mean,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2535.073642286776,2.171575823947537,0,True
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2616.0854689130547,2.1827031564328667,0,False
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2615.9658459837015,2.1826913586772005,0,False
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2614.792062176081,2.1825763830220857,0,False
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2604.386676086196,2.1819486652118707,0,False
fold_01,rolling_7d,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2570.271312959261,2.186792313996124,0,True
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2636.6380928682074,2.17937864112683,0,False
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2537.31312973811,2.191839395869108,0,True
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3185.356957848901,2.7016853662389217,0,False
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar,100.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3771.823997741294,3.0358594998791797,0,False
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar,1000.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3878.8920250063,3.125566885170492,0,False
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar_vessel,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2704.2049932244813,2.2069752178509257,0,False
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar_vessel,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2586.4812978969094,2.197021653046621,0,True
fold_01,rolling_7d,quality_weighted,ridge_direct_calendar_vessel,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2965.0447163506224,2.5694246722875573,0,False
