fold_id,training_policy,method,component_type,component,n_rows,sse_float,sse_rounded,mae_rounded,mean_bias_rounded
fold_02,all,recent_14d_hour,validation_quality,severe,144,1627.5785123966944,1641.0,2.6180555555555554,2.3958333333333335
fold_02,all,recent_14d_hour,validation_quality,outage,288,3881.1570247933882,3864.0,2.8402777777777777,2.4791666666666665
fold_02,all,mixed_075_hour_dow,region,core,168,4233.965134297521,4234.0,4.321428571428571,3.7738095238095237
fold_02,all,mixed_075_hour_dow,region,near,168,1700.299457644628,1703.0,2.6607142857142856,2.363095238095238
fold_02,all,mixed_075_hour_dow,region,outer,168,345.061854338843,385.0,1.2202380952380953,0.7083333333333334
fold_02,all,mixed_075_hour_dow,validation_quality,reduced,72,663.2536157024794,689.0,2.4305555555555554,1.2361111111111112
fold_02,all,mixed_075_hour_dow,validation_quality,severe,144,1602.9149018595042,1640.0,2.611111111111111,2.3472222222222223
fold_02,all,mixed_075_hour_dow,validation_quality,outage,288,4013.157928719008,3993.0,2.8715277777777777,2.5104166666666665
fold_02,all,hour_scale_p025,region,core,168,3937.3858463444303,3914.0,4.166666666666667,3.5833333333333335
fold_02,all,hour_scale_p025,region,near,168,1562.3323065507175,1545.0,2.517857142857143,2.255952380952381
fold_02,all,hour_scale_p025,region,outer,168,344.7287352342388,373.0,1.2083333333333333,0.6607142857142857
fold_02,all,hour_scale_p025,validation_quality,reduced,72,654.8754586826949,653.0,2.3472222222222223,1.2083333333333333
fold_02,all,hour_scale_p025,validation_quality,severe,144,1462.7364746114772,1458.0,2.4583333333333335,2.1805555555555554
