fold_id,training_policy,method,train_day_count_used,excluded_train_day_count,effective_train_day_weight,sse_float,sse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded
fold_04,exclude_outage_severe,recent_7d_hour,12,1,12.0,5364.472222222223,5377.0,2.517857142857143,1.3472222222222223,1323.0,2002.0
fold_04,quality_weighted,dow_hour_mean,12,1,11.5,7640.888888888889,7726.0,2.8531746031746033,1.7976190476190477,1323.0,2229.0
fold_04,quality_weighted,global_mean,12,1,11.5,6512.961326402017,6463.0,2.9146825396825395,1.7083333333333333,1323.0,2184.0
fold_04,quality_weighted,hour_mean,12,1,11.5,5743.327032136106,5834.0,2.634920634920635,1.7777777777777777,1323.0,2219.0
fold_04,quality_weighted,hour_scale_p025,12,1,11.5,5427.310150513285,5549.0,2.5535714285714284,1.6567460317460319,1323.0,2158.0
fold_04,quality_weighted,hour_scale_p05,12,1,11.5,5143.234718756981,5168.0,2.4682539682539684,1.5357142857142858,1323.0,2097.0
fold_04,quality_weighted,mixed_075_hour_dow,12,1,11.5,5906.440598088637,5951.0,2.617063492063492,1.755952380952381,1323.0,2208.0
fold_04,quality_weighted,recent_14d_hour,12,1,11.5,5743.327032136106,5834.0,2.634920634920635,1.7777777777777777,1323.0,2219.0
fold_04,quality_weighted,recent_7d_hour,12,1,11.5,5519.504132231405,5680.0,2.5595238095238093,1.4166666666666667,1323.0,2037.0
fold_05,all,dow_hour_mean,14,0,14.0,7472.0,7566.0,2.8531746031746033,0.7857142857142857,1619.0,2015.0
fold_05,all,global_mean,14,0,14.0,5750.970238095238,5705.0,2.7003968253968256,0.7876984126984127,1619.0,2016.0
fold_05,all,hour_mean,14,0,14.0,4870.5,4879.0,2.4027777777777777,0.7599206349206349,1619.0,2002.0
fold_05,all,hour_scale_p025,14,0,14.0,4671.682783519202,4713.0,2.3511904761904763,0.6765873015873016,1619.0,1960.0
fold_05,all,hour_scale_p05,14,0,14.0,4496.597153250345,4551.0,2.3115079365079363,0.5932539682539683,1619.0,1918.0
fold_05,all,mixed_075_hour_dow,14,0,14.0,5261.763392857143,5333.0,2.486111111111111,0.7797619047619048,1619.0,2012.0
fold_05,all,recent_14d_hour,14,0,14.0,4870.5,4879.0,2.4027777777777777,0.7599206349206349,1619.0,2002.0
fold_05,all,recent_7d_hour,14,0,14.0,4735.0,4755.0,2.2916666666666665,0.037698412698412696,1619.0,1638.0
fold_05,exclude_outage_severe,dow_hour_mean,12,2,12.0,6637.25,6722.0,2.6904761904761907,1.1626984126984128,1619.0,2205.0
fold_05,exclude_outage_severe,global_mean,12,2,12.0,6195.736689814814,6237.0,2.8234126984126986,1.121031746031746,1619.0,2184.0
fold_05,exclude_outage_severe,hour_mean,12,2,12.0,5332.819444444443,5443.0,2.5654761904761907,1.1765873015873016,1619.0,2212.0
fold_05,exclude_outage_severe,hour_scale_p025,12,2,12.0,5061.699756782959,5054.0,2.4563492063492065,1.0198412698412698,1619.0,2133.0
fold_05,exclude_outage_severe,hour_scale_p05,12,2,12.0,4821.376535232231,4793.0,2.386904761904762,0.9107142857142857,1619.0,2078.0
fold_05,exclude_outage_severe,mixed_075_hour_dow,12,2,12.0,5345.8203125,5471.0,2.5218253968253967,1.1369047619047619,1619.0,2192.0
fold_05,exclude_outage_severe,recent_14d_hour,12,2,12.0,5332.819444444443,5443.0,2.5654761904761907,1.1765873015873016,1619.0,2212.0
fold_05,exclude_outage_severe,recent_7d_hour,12,2,12.0,5111.240000000001,5212.0,2.4484126984126986,0.5793650793650794,1619.0,1911.0
fold_05,quality_weighted,dow_hour_mean,12,2,11.5,6608.888888888889,6694.0,2.6865079365079363,1.2103174603174602,1619.0,2229.0
fold_05,quality_weighted,global_mean,12,2,11.5,6263.414224952741,6237.0,2.8234126984126986,1.121031746031746,1619.0,2184.0
fold_05,quality_weighted,hour_mean,12,2,11.5,5409.327032136105,5434.0,2.5595238095238093,1.1904761904761905,1619.0,2219.0
fold_05,quality_weighted,hour_scale_p025,12,2,11.5,5129.96862214759,5183.0,2.486111111111111,1.0734126984126984,1619.0,2160.0
fold_05,quality_weighted,hour_scale_p05,12,2,11.5,4881.79985703197,4893.0,2.4186507936507935,0.9543650793650794,1619.0,2100.0
fold_05,quality_weighted,mixed_075_hour_dow,12,2,11.5,5397.940598088637,5417.0,2.517857142857143,1.1686507936507937,1619.0,2208.0
fold_05,quality_weighted,recent_14d_hour,12,2,11.5,5409.327032136105,5434.0,2.5595238095238093,1.1904761904761905,1619.0,2219.0
fold_05,quality_weighted,recent_7d_hour,12,2,11.5,5232.469135802469,5311.0,2.4742063492063493,0.6488095238095238,1619.0,1946.0
fold_06,all,dow_hour_mean,15,0,15.0,6683.472222222223,6772.0,2.6904761904761907,0.36904761904761907,1765.0,1951.0
fold_06,all,global_mean,15,0,15.0,5395.067592592592,5451.0,2.6051587301587302,0.498015873015873,1765.0,2016.0
fold_06,all,hour_mean,15,0,15.0,4486.408888888889,4532.0,2.2857142857142856,0.34523809523809523,1765.0,1939.0
fold_06,all,hour_scale_p025,15,0,15.0,4376.889048039389,4415.0,2.255952380952381,0.27976190476190477,1765.0,1906.0
fold_06,all,hour_scale_p05,15,0,15.0,4280.528475601969,4293.0,2.2242063492063493,0.20833333333333334,1765.0,1870.0
fold_06,all,mixed_075_hour_dow,15,0,15.0,4801.326180555556,4860.0,2.3452380952380953,0.34523809523809523,1765.0,1939.0
fold_06,all,recent_14d_hour,15,0,15.0,4477.5,4517.0,2.2916666666666665,0.30357142857142855,1765.0,1918.0
fold_06,all,recent_7d_hour,15,0,15.0,4969.428571428572,5085.0,2.3154761904761907,-0.6130952380952381,1765.0,1456.0
fold_06,exclude_outage_severe,dow_hour_mean,12,3,12.0,6095.25,6180.0,2.5952380952380953,0.873015873015873,1765.0,2205.0
fold_06,exclude_outage_severe,global_mean,12,3,12.0,5790.840856481482,5831.0,2.7043650793650795,0.8313492063492064,1765.0,2184.0
fold_06,exclude_outage_severe,hour_mean,12,3,12.0,4929.152777777777,5003.0,2.4384920634920637,0.8869047619047619,1765.0,2212.0
fold_06,exclude_outage_severe,hour_scale_p025,12,3,12.0,4737.713722429155,4712.0,2.357142857142857,0.753968253968254,1765.0,2145.0
fold_06,exclude_outage_severe,hour_scale_p05,12,3,12.0,4568.4651088385,4555.0,2.3115079365079363,0.6488095238095238,1765.0,2092.0
fold_06,exclude_outage_severe,mixed_075_hour_dow,12,3,12.0,4907.5703125,5053.0,2.4107142857142856,0.8472222222222222,1765.0,2192.0
fold_06,exclude_outage_severe,recent_14d_hour,12,3,12.0,4909.421487603306,4901.0,2.4345238095238093,0.8035714285714286,1765.0,2170.0
fold_06,exclude_outage_severe,recent_7d_hour,12,3,12.0,5186.25,5171.0,2.3988095238095237,0.10912698412698413,1765.0,1820.0
fold_06,quality_weighted,dow_hour_mean,12,3,11.5,6066.888888888889,6152.0,2.5912698412698414,0.9206349206349206,1765.0,2229.0
fold_06,quality_weighted,global_mean,12,3,11.5,5841.349007561437,5831.0,2.7043650793650795,0.8313492063492064,1765.0,2184.0
fold_06,quality_weighted,hour_mean,12,3,11.5,4983.93572778828,4980.0,2.4285714285714284,0.9007936507936508,1765.0,2219.0
fold_06,quality_weighted,hour_scale_p025,12,3,11.5,4785.819231261081,4828.0,2.380952380952381,0.7976190476190477,1765.0,2167.0
fold_06,quality_weighted,hour_scale_p05,12,3,11.5,4610.154319387544,4644.0,2.3412698412698414,0.7023809523809523,1765.0,2119.0
fold_06,quality_weighted,mixed_075_hour_dow,12,3,11.5,4943.397119827767,4993.0,2.4067460317460316,0.878968253968254,1765.0,2208.0
fold_06,quality_weighted,recent_14d_hour,12,3,11.5,4959.9047619047615,4965.0,2.4384920634920637,0.8591269841269841,1765.0,2198.0
fold_06,quality_weighted,recent_7d_hour,12,3,11.5,5319.714285714285,5390.0,2.4603174603174605,0.23412698412698413,1765.0,1883.0
fold_07,all,dow_hour_mean,16,0,16.0,6315.361111111111,6413.0,2.5932539682539684,-0.08134920634920635,1931.0,1890.0
fold_07,all,global_mean,16,0,16.0,5448.519205729167,5457.0,2.5813492063492065,0.16865079365079366,1931.0,2016.0
fold_07,all,hour_mean,16,0,16.0,4507.4296875,4524.0,2.265873015873016,-0.06746031746031746,1931.0,1897.0
fold_07,all,hour_scale_p025,16,0,16.0,4433.997818073542,4475.0,2.240079365079365,-0.18452380952380953,1931.0,1838.0
fold_07,all,hour_scale_p05,16,0,16.0,4374.5518572480105,4416.0,2.2182539682539684,-0.24206349206349206,1931.0,1809.0
fold_07,all,mixed_075_hour_dow,16,0,16.0,4746.397081163194,4754.0,2.2936507936507935,-0.07142857142857142,1931.0,1895.0
fold_07,all,recent_14d_hour,16,0,16.0,4565.035714285714,4631.0,2.263888888888889,-0.30357142857142855,1931.0,1778.0
fold_07,all,recent_7d_hour,16,0,16.0,5583.571428571428,5634.0,2.369047619047619,-1.2341269841269842,1931.0,1309.0
fold_07,exclude_outage_severe,dow_hour_mean,12,4,12.0,5749.25,5836.0,2.5,0.5436507936507936,1931.0,2205.0
fold_07,exclude_outage_severe,global_mean,12,4,12.0,5640.493634259259,5677.0,2.6488095238095237,0.501984126984127,1931.0,2184.0
fold_07,exclude_outage_severe,hour_mean,12,4,12.0,4679.986111111111,4699.0,2.3313492063492065,0.5575396825396826,1931.0,2212.0
fold_07,exclude_outage_severe,hour_scale_p025,12,4,12.0,4513.890707135777,4468.0,2.2738095238095237,0.3968253968253968,1931.0,2131.0
fold_07,exclude_outage_severe,hour_scale_p05,12,4,12.0,4373.732170607926,4372.0,2.238095238095238,0.2896825396825397,1931.0,2077.0
fold_07,exclude_outage_severe,mixed_075_hour_dow,12,4,12.0,4634.1953125,4753.0,2.3154761904761907,0.5178571428571429,1931.0,2192.0
fold_07,exclude_outage_severe,recent_14d_hour,12,4,12.0,4627.1900000000005,4665.0,2.3392857142857144,0.39087301587301587,1931.0,2128.0
fold_07,exclude_outage_severe,recent_7d_hour,12,4,12.0,5027.222222222223,5038.0,2.3412698412698414,-0.31746031746031744,1931.0,1771.0
fold_07,quality_weighted,dow_hour_mean,12,4,11.5,5720.888888888889,5808.0,2.496031746031746,0.5912698412698413,1931.0,2229.0
fold_07,quality_weighted,global_mean,12,4,11.5,5672.493935097669,5677.0,2.6488095238095237,0.501984126984127,1931.0,2184.0
fold_07,quality_weighted,hour_mean,12,4,11.5,4709.327032136107,4666.0,2.3214285714285716,0.5714285714285714,1931.0,2219.0
fold_07,quality_weighted,hour_scale_p025,12,4,11.5,4535.638424268422,4525.0,2.2757936507936507,0.4503968253968254,1931.0,2158.0
fold_07,quality_weighted,hour_scale_p05,12,4,11.5,4388.246986934495,4430.0,2.261904761904762,0.3373015873015873,1931.0,2101.0
fold_07,quality_weighted,mixed_075_hour_dow,12,4,11.5,4650.940598088637,4681.0,2.3075396825396823,0.5496031746031746,1931.0,2208.0
fold_07,quality_weighted,recent_14d_hour,12,4,11.5,4644.4155124653735,4650.0,2.3293650793650795,0.40476190476190477,1931.0,2135.0
fold_07,quality_weighted,recent_7d_hour,12,4,11.5,4977.84,5035.0,2.3472222222222223,-0.30357142857142855,1931.0,1778.0
fold_08,all,dow_hour_mean,17,0,17.0,6136.0,6185.0,2.5615079365079363,-0.7202380952380952,2177.0,1814.0
fold_08,all,global_mean,17,0,17.0,5864.907439446367,5653.0,2.5535714285714284,-0.3194444444444444,2177.0,2016.0
fold_08,all,hour_mean,17,0,17.0,4865.941176470588,4905.0,2.3075396825396823,-0.7083333333333334,2177.0,1820.0
fold_08,all,hour_scale_p025,17,0,17.0,4875.011847144971,4898.0,2.2976190476190474,-0.7579365079365079,2177.0,1795.0
fold_08,all,hour_scale_p05,17,0,17.0,4893.429097459826,4957.0,2.2996031746031744,-0.8234126984126984,2177.0,1762.0
fold_08,all,mixed_075_hour_dow,17,0,17.0,4998.801470588235,4985.0,2.3115079365079363,-0.7043650793650794,2177.0,1822.0
fold_08,all,recent_14d_hour,17,0,17.0,5248.25,5256.0,2.380952380952381,-1.0,2177.0,1673.0
fold_08,all,recent_7d_hour,17,0,17.0,7489.428571428571,7484.0,2.7103174603174605,-1.9444444444444444,2177.0,1197.0
fold_08,exclude_outage_severe,dow_hour_mean,12,5,12.0,5406.25,5456.0,2.4484126984126986,0.05555555555555555,2177.0,2205.0
fold_08,exclude_outage_severe,global_mean,12,5,12.0,5566.570023148149,5595.0,2.5615079365079363,0.013888888888888888,2177.0,2184.0
fold_08,exclude_outage_severe,hour_mean,12,5,12.0,4557.152777777777,4559.0,2.2718253968253967,0.06944444444444445,2177.0,2212.0
fold_08,exclude_outage_severe,hour_scale_p025,12,5,12.0,4491.388838535211,4494.0,2.242063492063492,-0.09126984126984126,2177.0,2131.0
